,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
240,LTCUSD_i,220.15,218.79,218.48,220.83,219.655,219.36666666666667,219.2225,219.5625,32230,2021-04-06 05:00:00
241,LTCUSD_i,218.79,218.05,217.47,220.3,218.885,218.60666666666665,218.46749999999997,218.65249999999997,21500,2021-04-06 06:00:00
242,LTCUSD_i,218.05,222.55,218.05,223.28,220.66500000000002,221.29333333333338,221.60750000000002,220.48250000000002,34450,2021-04-06 07:00:00
243,LTCUSD_i,222.55,222.42,221.29,223.87,222.57999999999998,222.52666666666664,222.49999999999997,222.53249999999997,31300,2021-04-06 08:00:00
244,LTCUSD_i,222.42,222.57,220.27,223.76,222.015,222.19999999999996,222.29249999999996,222.25499999999997,29200,2021-04-06 09:00:00
245,LTCUSD_i,222.57,218.91,218.07,222.57,220.32,219.85,219.61499999999998,220.52999999999997,30520,2021-04-06 10:00:00
246,LTCUSD_i,218.91,220.01,218.21,222.8,220.505,220.34,220.2575,219.9825,46790,2021-04-06 11:00:00
247,LTCUSD_i,220.02,225.62,219.69,226.94,223.315,224.08333333333334,224.4675,223.0675,44140,2021-04-06 12:00:00
248,LTCUSD_i,225.63,223.44,223.44,228.13,225.785,225.00333333333333,224.6125,225.16,40800,2021-04-06 13:00:00
249,LTCUSD_i,223.44,232.78,222.73,232.82,227.77499999999998,229.4433333333333,230.27749999999997,227.9425,54990,2021-04-06 14:00:00
250,LTCUSD_i,232.78,232.18,231.61,238.83,235.22000000000003,234.2066666666667,233.70000000000005,233.85000000000002,68420,2021-04-06 15:00:00
251,LTCUSD_i,232.18,228.98,228.44,234.63,231.535,230.6833333333333,230.2575,231.0575,50510,2021-04-06 16:00:00
252,LTCUSD_i,228.99,224.22,212.68,229.0,220.84,221.96666666666667,222.53,223.7225,125620,2021-04-06 17:00:00
253,LTCUSD_i,224.22,234.16,222.63,235.02,228.825,230.60333333333332,231.49249999999998,229.0075,78220,2021-04-06 18:00:00
254,LTCUSD_i,234.16,241.05,230.44,243.67,237.055,238.38666666666668,239.0525,237.33,95848,2021-04-06 19:00:00
255,LTCUSD_i,241.06,240.51,238.77,244.07,241.42000000000002,241.11666666666667,240.965,241.10250000000002,73420,2021-04-06 20:00:00
256,LTCUSD_i,240.51,238.6,235.09,242.7,238.89499999999998,238.79666666666665,238.7475,239.225,64340,2021-04-06 21:00:00
257,LTCUSD_i,238.6,238.63,235.94,239.25,237.595,237.93999999999997,238.11249999999998,238.105,53940,2021-04-06 22:00:00
258,LTCUSD_i,238.63,242.44,238.19,242.72,240.45499999999998,241.11666666666665,241.4475,240.49499999999998,46190,2021-04-06 23:00:00
259,LTCUSD_i,237.1,237.11,232.96,239.05,236.005,236.37333333333333,236.5575,236.555,57070,2021-04-07 01:00:00
260,LTCUSD_i,237.1,236.51,235.69,239.3,237.495,237.16666666666666,237.0025,237.15,37690,2021-04-07 02:00:00
261,LTCUSD_i,236.52,232.32,230.51,242.54,236.52499999999998,235.1233333333333,234.42249999999996,235.47249999999997,64992,2021-04-07 03:00:00
262,LTCUSD_i,232.33,236.33,230.28,237.36,233.82,234.65666666666667,235.07500000000002,234.07500000000002,55460,2021-04-07 04:00:00
263,LTCUSD_i,236.33,238.39,235.44,239.52,237.48000000000002,237.78333333333333,237.935,237.42000000000002,33580,2021-04-07 05:00:00
264,LTCUSD_i,238.39,239.84,236.13,241.25,238.69,239.07333333333335,239.26500000000001,238.9025,35880,2021-04-07 06:00:00
265,LTCUSD_i,239.83,239.89,235.46,241.85,238.655,239.0666666666667,239.2725,239.25750000000002,57420,2021-04-07 07:00:00
266,LTCUSD_i,239.89,238.82,236.61,242.46,239.53500000000003,239.2966666666667,239.1775,239.44500000000002,57300,2021-04-07 08:00:00
267,LTCUSD_i,238.73,234.11,233.44,239.58,236.51,235.71,235.31,236.465,58550,2021-04-07 09:00:00
268,LTCUSD_i,234.11,231.85,229.36,234.37,231.865,231.86,231.85750000000002,232.4225,73580,2021-04-07 10:00:00
269,LTCUSD_i,231.85,228.69,225.94,232.87,229.405,229.16666666666666,229.0475,229.8375,70500,2021-04-07 11:00:00
270,LTCUSD_i,228.69,225.63,219.46,229.84,224.65,224.9766666666667,225.14000000000001,225.90500000000003,85680,2021-04-07 12:00:00
271,LTCUSD_i,225.63,216.69,214.64,226.59,220.615,219.3066666666667,218.65250000000003,220.88750000000002,79140,2021-04-07 13:00:00
272,LTCUSD_i,216.69,217.91,210.68,220.68,215.68,216.42333333333332,216.795,216.49,115962,2021-04-07 14:00:00
273,LTCUSD_i,217.9,221.27,211.24,222.29,216.765,218.26666666666665,219.01749999999998,218.17499999999998,89090,2021-04-07 15:00:00
