,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1362,AUDUSD_i,0.77906,0.77863,0.77845,0.77927,0.77886,0.7787833333333333,0.778745,0.7788525,1642,2021-03-11 23:00:00
1363,AUDUSD_i,0.77862,0.77829,0.7777,0.77899,0.778345,0.7783266666666666,0.7783175,0.7784,465,2021-03-12 00:00:00
1364,AUDUSD_i,0.77829,0.77846,0.77829,0.77907,0.77868,0.7786066666666667,0.77857,0.7785275,1625,2021-03-12 01:00:00
1365,AUDUSD_i,0.77846,0.77898,0.77832,0.77916,0.77874,0.77882,0.7788599999999999,0.7787299999999999,2582,2021-03-12 02:00:00
1366,AUDUSD_i,0.77896,0.7792,0.77892,0.77998,0.77945,0.7793666666666667,0.7793249999999999,0.779265,4041,2021-03-12 03:00:00
1367,AUDUSD_i,0.77921,0.77761,0.77699,0.77943,0.77821,0.77801,0.77791,0.77831,5405,2021-03-12 04:00:00
1368,AUDUSD_i,0.77762,0.77789,0.77719,0.77802,0.7776050000000001,0.7777,0.7777475,0.7776799999999999,2913,2021-03-12 05:00:00
1369,AUDUSD_i,0.7779,0.77839,0.77785,0.77852,0.778185,0.7782533333333334,0.7782875,0.778165,1996,2021-03-12 06:00:00
1370,AUDUSD_i,0.77839,0.7776,0.77744,0.77853,0.777985,0.7778566666666666,0.7777925,0.77799,2739,2021-03-12 07:00:00
1371,AUDUSD_i,0.77758,0.77581,0.77562,0.77777,0.7766949999999999,0.7763999999999999,0.7762524999999999,0.7766949999999999,4858,2021-03-12 08:00:00
1372,AUDUSD_i,0.77584,0.77523,0.77479,0.7761,0.7754449999999999,0.7753733333333334,0.7753375,0.77549,4866,2021-03-12 09:00:00
1373,AUDUSD_i,0.77523,0.77464,0.77402,0.77567,0.774845,0.7747766666666666,0.7747424999999999,0.77489,5552,2021-03-12 10:00:00
1374,AUDUSD_i,0.77464,0.77456,0.77398,0.77547,0.774725,0.77467,0.7746425,0.7746625,5199,2021-03-12 11:00:00
1375,AUDUSD_i,0.77455,0.77475,0.7742,0.77537,0.7747850000000001,0.7747733333333334,0.7747675,0.7747175000000001,3352,2021-03-12 12:00:00
