,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4127,GBPAUD_i,1.90936,1.90743,1.9073,1.90985,1.908575,1.9081933333333332,1.9080024999999998,1.9084849999999998,1611,2021-08-20 06:00:00
4128,GBPAUD_i,1.9074,1.90956,1.9073099999999998,1.90972,1.908515,1.9088633333333334,1.9090375,1.9084975,860,2021-08-20 07:00:00
4129,GBPAUD_i,1.9096899999999999,1.9111099999999999,1.9094799999999998,1.91195,1.910715,1.9108466666666668,1.9109125,1.9105575,2838,2021-08-20 08:00:00
4130,GBPAUD_i,1.9111,1.91229,1.9100000000000001,1.91318,1.9115900000000001,1.9118233333333334,1.91194,1.9116425000000001,4295,2021-08-20 09:00:00
4131,GBPAUD_i,1.91227,1.91398,1.91157,1.915,1.9132850000000001,1.913516666666667,1.9136325000000003,1.913205,6572,2021-08-20 10:00:00
4132,GBPAUD_i,1.91398,1.91306,1.91201,1.91439,1.9132,1.9131533333333335,1.91313,1.91336,3068,2021-08-20 11:00:00
4133,GBPAUD_i,1.91309,1.91288,1.91218,1.9151,1.91364,1.9133866666666666,1.9132599999999997,1.9133125,2741,2021-08-20 12:00:00
4134,GBPAUD_i,1.9128699999999998,1.91101,1.90978,1.91318,1.91148,1.9113233333333335,1.911245,1.91171,2310,2021-08-20 13:00:00
4135,GBPAUD_i,1.91103,1.90929,1.90865,1.91194,1.910295,1.9099599999999999,1.9097925,1.9102275,2807,2021-08-20 14:00:00
4136,GBPAUD_i,1.9093,1.90909,1.90865,1.91019,1.90942,1.9093099999999998,1.909255,1.9093075,3963,2021-08-20 15:00:00
4137,GBPAUD_i,1.9091,1.9068800000000001,1.90647,1.91025,1.90836,1.9078666666666668,1.90762,1.908175,7839,2021-08-20 16:00:00
4138,GBPAUD_i,1.90687,1.91005,1.9066,1.91072,1.90866,1.9091233333333335,1.9093550000000001,1.90856,6353,2021-08-20 17:00:00
4139,GBPAUD_i,1.91001,1.9099300000000001,1.90857,1.91075,1.9096600000000001,1.90975,1.9097950000000001,1.909815,4635,2021-08-20 18:00:00
4140,GBPAUD_i,1.90995,1.90794,1.90785,1.91017,1.9090099999999999,1.9086533333333333,1.908475,1.9089775,2804,2021-08-20 19:00:00
4141,GBPAUD_i,1.9079700000000002,1.90902,1.9076499999999998,1.9093900000000001,1.90852,1.9086866666666669,1.90877,1.9085075000000002,1004,2021-08-20 20:00:00
