,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6228,SPX500_m_i,4691.7,4690.3,4683.6,4693.4,4688.5,4689.099999999999,4689.4,4689.75,1368,2021-12-07 20:00:00
6229,SPX500_m_i,4690.3,4687.2,4683.8,4690.8,4687.3,4687.266666666666,4687.25,4688.025,1501,2021-12-07 21:00:00
6230,SPX500_m_i,4687.0,4688.4,4668.4,4690.5,4679.45,4682.433333333333,4683.924999999999,4683.575,3533,2021-12-07 22:00:00
6231,SPX500_m_i,4690.1,4691.0,4689.7,4693.0,4691.35,4691.233333333334,4691.175,4690.950000000001,460,2021-12-08 01:00:00
6232,SPX500_m_i,4691.0,4701.2,4684.9,4701.2,4693.049999999999,4695.766666666666,4697.125,4694.575,1436,2021-12-08 02:00:00
6233,SPX500_m_i,4701.2,4696.2,4692.4,4702.2,4697.299999999999,4696.933333333333,4696.75,4698.0,1703,2021-12-08 03:00:00
6234,SPX500_m_i,4696.1,4702.9,4696.0,4706.0,4701.0,4701.633333333333,4701.95,4700.25,1481,2021-12-08 04:00:00
6235,SPX500_m_i,4702.9,4704.3,4701.0,4707.0,4704.0,4704.099999999999,4704.15,4703.799999999999,1182,2021-12-08 05:00:00
6236,SPX500_m_i,4704.3,4703.5,4701.7,4706.4,4704.049999999999,4703.866666666666,4703.775,4703.974999999999,750,2021-12-08 06:00:00
6237,SPX500_m_i,4703.5,4704.8,4699.1,4705.0,4702.05,4702.966666666667,4703.425,4703.1,1011,2021-12-08 07:00:00
6238,SPX500_m_i,4704.7,4700.2,4699.7,4705.3,4702.5,4701.733333333334,4701.35,4702.475,939,2021-12-08 08:00:00
6239,SPX500_m_i,4700.2,4697.8,4692.4,4702.2,4697.299999999999,4697.466666666666,4697.549999999999,4698.15,1434,2021-12-08 09:00:00
6240,SPX500_m_i,4697.5,4702.8,4693.6,4703.1,4698.35,4699.833333333333,4700.575,4699.25,2636,2021-12-08 10:00:00
6241,SPX500_m_i,4702.7,4697.0,4694.0,4702.7,4698.35,4697.900000000001,4697.675,4699.1,1575,2021-12-08 11:00:00
6242,SPX500_m_i,4696.7,4686.8,4686.8,4697.4,4692.1,4690.333333333333,4689.45,4691.925,1651,2021-12-08 12:00:00
6243,SPX500_m_i,4686.2,4704.7,4683.0,4713.3,4698.15,4700.333333333333,4701.425,4696.8,3656,2021-12-08 13:00:00
6244,SPX500_m_i,4704.4,4697.0,4692.2,4711.2,4701.7,4700.133333333333,4699.35,4701.2,2457,2021-12-08 14:00:00
6245,SPX500_m_i,4697.2,4693.8,4692.1,4698.6,4695.35,4694.833333333333,4694.575,4695.425,1725,2021-12-08 15:00:00
6246,SPX500_m_i,4693.6,4686.2,4680.4,4697.7,4689.049999999999,4688.099999999999,4687.625,4689.475,4877,2021-12-08 16:00:00
6247,SPX500_m_i,4685.7,4675.8,4674.8,4692.7,4683.75,4681.099999999999,4679.775,4682.25,6126,2021-12-08 17:00:00
6248,SPX500_m_i,4675.6,4686.2,4673.6,4687.8,4680.700000000001,4682.533333333334,4683.450000000001,4680.800000000001,2854,2021-12-08 18:00:00
6249,SPX500_m_i,4685.9,4687.3,4679.7,4689.9,4684.799999999999,4685.633333333332,4686.049999999999,4685.699999999999,2380,2021-12-08 19:00:00
6250,SPX500_m_i,4687.5,4691.3,4686.2,4694.7,4690.45,4690.733333333334,4690.875,4689.925,1599,2021-12-08 20:00:00
6251,SPX500_m_i,4691.2,4695.9,4687.1,4696.5,4691.8,4693.166666666667,4693.85,4692.675,1954,2021-12-08 21:00:00
6252,SPX500_m_i,4695.9,4700.0,4693.8,4704.6,4699.200000000001,4699.466666666667,4699.6,4698.575000000001,2365,2021-12-08 22:00:00
6253,SPX500_m_i,4699.0,4697.5,4696.0,4699.5,4697.75,4697.666666666667,4697.625,4698.0,231,2021-12-09 01:00:00
6254,SPX500_m_i,4697.2,4696.2,4694.8,4698.5,4696.65,4696.5,4696.425,4696.675,693,2021-12-09 02:00:00
6255,SPX500_m_i,4696.0,4699.2,4695.5,4699.7,4697.6,4698.133333333334,4698.400000000001,4697.6,783,2021-12-09 03:00:00
6256,SPX500_m_i,4699.2,4704.2,4698.3,4704.5,4701.4,4702.333333333333,4702.8,4701.55,655,2021-12-09 04:00:00
6257,SPX500_m_i,4704.1,4692.5,4691.0,4707.0,4699.0,4696.833333333333,4695.75,4698.65,660,2021-12-09 05:00:00
6258,SPX500_m_i,4692.5,4692.0,4688.9,4696.2,4692.549999999999,4692.366666666666,4692.275,4692.4,955,2021-12-09 06:00:00
6259,SPX500_m_i,4692.0,4691.7,4691.2,4695.2,4693.2,4692.7,4692.45,4692.525,755,2021-12-09 07:00:00
6260,SPX500_m_i,4691.7,4696.0,4691.5,4696.8,4694.15,4694.766666666666,4695.075,4694.0,601,2021-12-09 08:00:00
6261,SPX500_m_i,4696.0,4697.8,4695.0,4700.8,4697.9,4697.866666666666,4697.849999999999,4697.4,896,2021-12-09 09:00:00
6262,SPX500_m_i,4697.6,4690.5,4687.5,4698.5,4693.0,4692.166666666667,4691.75,4693.525,1917,2021-12-09 10:00:00
6263,SPX500_m_i,4690.5,4690.4,4686.9,4692.6,4689.75,4689.966666666666,4690.075,4690.1,1202,2021-12-09 11:00:00
6264,SPX500_m_i,4690.5,4685.1,4680.4,4690.5,4685.45,4685.333333333333,4685.275,4686.625,1454,2021-12-09 12:00:00
6265,SPX500_m_i,4685.1,4684.1,4678.6,4687.6,4683.1,4683.433333333333,4683.6,4683.85,1472,2021-12-09 13:00:00
6266,SPX500_m_i,4683.8,4686.8,4683.4,4689.7,4686.549999999999,4686.633333333332,4686.674999999999,4685.924999999999,1227,2021-12-09 14:00:00
6267,SPX500_m_i,4686.5,4683.6,4678.7,4686.9,4682.799999999999,4683.066666666667,4683.2,4683.924999999999,1385,2021-12-09 15:00:00
6268,SPX500_m_i,4683.9,4687.1,4682.9,4694.9,4688.9,4688.3,4688.0,4687.2,3244,2021-12-09 16:00:00
6269,SPX500_m_i,4687.2,4686.5,4675.5,4692.6,4684.05,4684.866666666667,4685.275,4685.45,4588,2021-12-09 17:00:00
6270,SPX500_m_i,4686.5,4684.3,4680.3,4692.7,4686.5,4685.766666666666,4685.4,4685.95,3141,2021-12-09 18:00:00
6271,SPX500_m_i,4684.1,4693.9,4681.3,4694.4,4687.85,4689.866666666667,4690.875,4688.425,2429,2021-12-09 19:00:00
