,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4958,USDCHF_i,0.9281,0.92895,0.92806,0.92895,0.928505,0.9286533333333334,0.9287275,0.9285150000000001,1334,2021-10-07 21:00:00
4959,USDCHF_i,0.92897,0.92869,0.92868,0.92909,0.928885,0.92882,0.9287875,0.9288575,946,2021-10-07 22:00:00
4960,USDCHF_i,0.92869,0.9284,0.9284,0.92902,0.9287099999999999,0.9286066666666666,0.9285549999999999,0.9286274999999999,659,2021-10-07 23:00:00
4961,USDCHF_i,0.92841,0.92828,0.92704,0.92846,0.92775,0.9279266666666667,0.928015,0.9280475,389,2021-10-08 00:00:00
4962,USDCHF_i,0.92828,0.92878,0.9276,0.92882,0.92821,0.9284,0.9284950000000001,0.92837,441,2021-10-08 01:00:00
4963,USDCHF_i,0.92878,0.92846,0.9284,0.92885,0.928625,0.92857,0.9285424999999999,0.9286225,401,2021-10-08 02:00:00
4964,USDCHF_i,0.92846,0.92881,0.92837,0.92927,0.92882,0.9288166666666666,0.928815,0.9287274999999999,575,2021-10-08 03:00:00
4965,USDCHF_i,0.92881,0.92899,0.9287,0.92911,0.928905,0.9289333333333333,0.9289475,0.9289025,758,2021-10-08 04:00:00
4966,USDCHF_i,0.92899,0.929,0.92888,0.92931,0.929095,0.9290633333333332,0.9290475,0.9290449999999999,770,2021-10-08 05:00:00
4967,USDCHF_i,0.929,0.9293,0.92877,0.92936,0.929065,0.9291433333333333,0.9291825,0.9291075,1083,2021-10-08 06:00:00
4968,USDCHF_i,0.9293,0.92979,0.92925,0.92986,0.929555,0.9296333333333333,0.9296725,0.92955,578,2021-10-08 07:00:00
4969,USDCHF_i,0.92971,0.93,0.9293,0.93001,0.929655,0.92977,0.9298275,0.929755,524,2021-10-08 08:00:00
4970,USDCHF_i,0.93001,0.92994,0.92931,0.93008,0.9296949999999999,0.9297766666666666,0.9298175,0.929835,1275,2021-10-08 09:00:00
4971,USDCHF_i,0.92995,0.92973,0.92943,0.93035,0.92989,0.9298366666666666,0.92981,0.9298649999999999,2273,2021-10-08 10:00:00
4972,USDCHF_i,0.92973,0.93018,0.9297,0.93046,0.93008,0.9301133333333333,0.93013,0.9300174999999999,1181,2021-10-08 11:00:00
4973,USDCHF_i,0.93019,0.92863,0.92856,0.93033,0.9294450000000001,0.9291733333333334,0.9290375000000001,0.9294275000000001,1612,2021-10-08 12:00:00
