,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4038,AUDCHF_i,0.67036,0.67026,0.66985,0.67068,0.670265,0.6702633333333333,0.6702625,0.6702875,1599,2021-08-16 13:00:00
4039,AUDCHF_i,0.67025,0.67002,0.66952,0.6705,0.67001,0.6700133333333333,0.670015,0.6700725000000001,1841,2021-08-16 14:00:00
4040,AUDCHF_i,0.67001,0.66892,0.66888,0.67001,0.6694450000000001,0.66927,0.6691825,0.669455,2519,2021-08-16 15:00:00
4041,AUDCHF_i,0.66891,0.66781,0.66718,0.66914,0.66816,0.6680433333333333,0.667985,0.66826,3210,2021-08-16 16:00:00
4042,AUDCHF_i,0.6678,0.66814,0.66774,0.66909,0.668415,0.6683233333333334,0.6682775000000001,0.6681925,3832,2021-08-16 17:00:00
4043,AUDCHF_i,0.66813,0.66932,0.66802,0.66951,0.668765,0.66895,0.6690425,0.668745,2568,2021-08-16 18:00:00
4044,AUDCHF_i,0.66933,0.669,0.66885,0.66933,0.66909,0.66906,0.669045,0.6691275,1179,2021-08-16 19:00:00
4045,AUDCHF_i,0.669,0.66911,0.66862,0.66914,0.6688799999999999,0.6689566666666665,0.6689949999999999,0.6689674999999999,715,2021-08-16 20:00:00
4046,AUDCHF_i,0.66911,0.66905,0.66866,0.66915,0.6689050000000001,0.6689533333333334,0.6689775,0.6689925,685,2021-08-16 21:00:00
4047,AUDCHF_i,0.66905,0.66925,0.66889,0.66937,0.66913,0.6691699999999999,0.66919,0.66914,770,2021-08-16 22:00:00
4048,AUDCHF_i,0.66925,0.66915,0.66902,0.66932,0.66917,0.6691633333333334,0.6691600000000001,0.669185,851,2021-08-16 23:00:00
4049,AUDCHF_i,0.66803,0.66897,0.66785,0.66915,0.6685000000000001,0.6686566666666667,0.668735,0.6685,416,2021-08-17 00:00:00
4050,AUDCHF_i,0.66912,0.66935,0.66895,0.66949,0.66922,0.6692633333333333,0.669285,0.6692275,532,2021-08-17 01:00:00
4051,AUDCHF_i,0.66935,0.66952,0.66923,0.66965,0.66944,0.6694666666666667,0.66948,0.6694375,447,2021-08-17 02:00:00
4052,AUDCHF_i,0.66951,0.66861,0.66852,0.66959,0.669055,0.6689066666666666,0.6688325,0.6690575000000001,816,2021-08-17 03:00:00
4053,AUDCHF_i,0.66862,0.66725,0.66675,0.66869,0.66772,0.6675633333333333,0.667485,0.6678275,1749,2021-08-17 04:00:00
4054,AUDCHF_i,0.66721,0.66731,0.66658,0.66756,0.66707,0.66715,0.6671900000000001,0.667165,1150,2021-08-17 05:00:00
4055,AUDCHF_i,0.66727,0.66731,0.66683,0.66743,0.66713,0.6671900000000001,0.66722,0.6672100000000001,960,2021-08-17 06:00:00
4056,AUDCHF_i,0.6673,0.66748,0.66707,0.66757,0.66732,0.6673733333333334,0.6674,0.667355,734,2021-08-17 07:00:00
4057,AUDCHF_i,0.66749,0.66747,0.66719,0.66771,0.66745,0.6674566666666667,0.6674599999999999,0.667465,1082,2021-08-17 08:00:00
4058,AUDCHF_i,0.66747,0.66441,0.66434,0.66747,0.665905,0.6654066666666666,0.6651575,0.6659225,2753,2021-08-17 09:00:00
4059,AUDCHF_i,0.66441,0.66355,0.66334,0.66469,0.664015,0.66386,0.6637824999999999,0.6639975,3116,2021-08-17 10:00:00
4060,AUDCHF_i,0.66355,0.66422,0.6635,0.66489,0.664195,0.6642033333333334,0.6642075000000001,0.66404,2326,2021-08-17 11:00:00
4061,AUDCHF_i,0.66421,0.66417,0.66338,0.66428,0.6638299999999999,0.6639433333333332,0.6639999999999999,0.66401,1740,2021-08-17 12:00:00
4062,AUDCHF_i,0.66419,0.66408,0.66369,0.66439,0.66404,0.6640533333333333,0.66406,0.6640874999999999,1852,2021-08-17 13:00:00
4063,AUDCHF_i,0.66407,0.66369,0.66353,0.66442,0.663975,0.6638799999999999,0.6638324999999999,0.6639275,2158,2021-08-17 14:00:00
4064,AUDCHF_i,0.66368,0.66393,0.66312,0.66491,0.664015,0.6639866666666667,0.6639725000000001,0.66391,3087,2021-08-17 15:00:00
4065,AUDCHF_i,0.66394,0.6626,0.66216,0.6641,0.66313,0.6629533333333333,0.6628649999999999,0.6632,3834,2021-08-17 16:00:00
4066,AUDCHF_i,0.66258,0.66347,0.66245,0.66401,0.66323,0.66331,0.66335,0.6631275,3029,2021-08-17 17:00:00
4067,AUDCHF_i,0.66349,0.66308,0.66307,0.66386,0.663465,0.6633366666666666,0.6632724999999999,0.6633749999999999,2747,2021-08-17 18:00:00
4068,AUDCHF_i,0.66308,0.6623,0.66219,0.66317,0.6626799999999999,0.6625533333333333,0.66249,0.662685,2423,2021-08-17 19:00:00
4069,AUDCHF_i,0.6623,0.66274,0.66222,0.66287,0.6625449999999999,0.6626099999999999,0.6626424999999999,0.6625325,1979,2021-08-17 20:00:00
4070,AUDCHF_i,0.66272,0.66312,0.66272,0.66342,0.66307,0.6630866666666667,0.6630950000000001,0.662995,1842,2021-08-17 21:00:00
4071,AUDCHF_i,0.66315,0.66341,0.66307,0.6635,0.663285,0.6633266666666667,0.6633475,0.6632825,2130,2021-08-17 22:00:00
4072,AUDCHF_i,0.66338,0.6635,0.66319,0.66366,0.6634249999999999,0.66345,0.6634625,0.6634325,1017,2021-08-17 23:00:00
4073,AUDCHF_i,0.66251,0.66288,0.66189,0.66327,0.66258,0.6626799999999999,0.6627299999999999,0.6626375,336,2021-08-18 00:00:00
4074,AUDCHF_i,0.66308,0.66375,0.6627,0.66389,0.663295,0.6634466666666666,0.6635224999999999,0.6633549999999999,562,2021-08-18 01:00:00
4075,AUDCHF_i,0.66375,0.66355,0.66353,0.66393,0.6637299999999999,0.6636699999999999,0.6636399999999999,0.6636899999999999,519,2021-08-18 02:00:00
4076,AUDCHF_i,0.66355,0.66317,0.66312,0.66373,0.663425,0.66334,0.6632975000000001,0.6633925,1039,2021-08-18 03:00:00
4077,AUDCHF_i,0.66317,0.66317,0.66266,0.66363,0.6631450000000001,0.6631533333333334,0.6631575000000001,0.6631575000000001,1151,2021-08-18 04:00:00
4078,AUDCHF_i,0.66324,0.66345,0.66154,0.6638,0.66267,0.6629299999999999,0.66306,0.6630075,1638,2021-08-18 05:00:00
4079,AUDCHF_i,0.66345,0.66371,0.66343,0.66404,0.663735,0.6637266666666667,0.6637225,0.6636575,900,2021-08-18 06:00:00
4080,AUDCHF_i,0.66373,0.66397,0.66373,0.66429,0.66401,0.6639966666666667,0.66399,0.66393,619,2021-08-18 07:00:00
4081,AUDCHF_i,0.66397,0.66339,0.66338,0.66428,0.6638299999999999,0.6636833333333333,0.66361,0.663755,772,2021-08-18 08:00:00
