,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6221,EURJPY_i,128.362,128.298,128.186,128.363,128.2745,128.28233333333333,128.28625,128.30225,3182,2021-12-21 13:00:00
6222,EURJPY_i,128.298,128.415,128.293,128.448,128.3705,128.3853333333333,128.39274999999998,128.3635,3357,2021-12-21 14:00:00
6223,EURJPY_i,128.415,128.436,128.364,128.515,128.4395,128.43833333333336,128.43775000000002,128.4325,4020,2021-12-21 15:00:00
6224,EURJPY_i,128.436,128.344,128.294,128.471,128.3825,128.36966666666666,128.36325,128.38625,5338,2021-12-21 16:00:00
6225,EURJPY_i,128.344,128.489,128.249,128.56,128.40449999999998,128.43266666666668,128.44675,128.4105,6306,2021-12-21 17:00:00
6226,EURJPY_i,128.489,128.617,128.463,128.635,128.54899999999998,128.57166666666663,128.58299999999997,128.551,3873,2021-12-21 18:00:00
6227,EURJPY_i,128.614,128.666,128.575,128.699,128.637,128.64666666666668,128.6515,128.6385,2248,2021-12-21 19:00:00
6228,EURJPY_i,128.664,128.681,128.594,128.699,128.6465,128.65800000000002,128.66375000000002,128.6595,2517,2021-12-21 20:00:00
6229,EURJPY_i,128.682,128.714,128.661,128.739,128.7,128.70466666666667,128.707,128.69899999999998,1927,2021-12-21 21:00:00
6230,EURJPY_i,128.714,128.708,128.657,128.723,128.69,128.696,128.69899999999998,128.70049999999998,1657,2021-12-21 22:00:00
6231,EURJPY_i,128.709,128.697,128.681,128.759,128.72,128.71233333333333,128.70850000000002,128.7115,1457,2021-12-21 23:00:00
6232,EURJPY_i,128.701,128.654,128.524,128.767,128.6455,128.64833333333334,128.64974999999998,128.6615,2292,2021-12-22 00:00:00
6233,EURJPY_i,128.644,128.652,128.586,128.697,128.6415,128.645,128.64675,128.64475,1193,2021-12-22 01:00:00
6234,EURJPY_i,128.652,128.771,128.652,128.822,128.737,128.74833333333333,128.754,128.72424999999998,2250,2021-12-22 02:00:00
6235,EURJPY_i,128.768,128.776,128.761,128.845,128.803,128.794,128.7895,128.7875,1492,2021-12-22 03:00:00
6236,EURJPY_i,128.776,128.631,128.565,128.779,128.672,128.65833333333333,128.6515,128.68775,2014,2021-12-22 04:00:00
6237,EURJPY_i,128.631,128.664,128.616,128.669,128.6425,128.64966666666666,128.65325,128.645,1630,2021-12-22 05:00:00
6238,EURJPY_i,128.664,128.66,128.587,128.664,128.6255,128.63699999999997,128.64274999999998,128.64374999999998,1172,2021-12-22 06:00:00
6239,EURJPY_i,128.661,128.616,128.568,128.689,128.6285,128.62433333333334,128.62225,128.63350000000003,1657,2021-12-22 07:00:00
6240,EURJPY_i,128.616,128.608,128.553,128.681,128.61700000000002,128.614,128.6125,128.61450000000002,1726,2021-12-22 08:00:00
6241,EURJPY_i,128.608,128.608,128.566,128.678,128.622,128.61733333333333,128.615,128.615,2816,2021-12-22 09:00:00
6242,EURJPY_i,128.608,128.836,128.589,128.858,128.7235,128.761,128.77975,128.72275000000002,4688,2021-12-22 10:00:00
6243,EURJPY_i,128.837,128.941,128.768,128.976,128.872,128.895,128.90650000000002,128.8805,3440,2021-12-22 11:00:00
6244,EURJPY_i,128.941,129.041,128.941,129.112,129.0265,129.03133333333332,129.03375,129.00875,3857,2021-12-22 12:00:00
