,USDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
5165,USDCAD_i,1.23461,1.2349999999999999,1.2343600000000001,1.2358500000000001,1.2351050000000001,1.2350700000000001,1.2350525,1.234955,2004,2021-10-20 12:00:00
5166,USDCAD_i,1.2349999999999999,1.23506,1.23478,1.23571,1.235245,1.2351833333333333,1.2351524999999999,1.2351375,1367,2021-10-20 13:00:00
5167,USDCAD_i,1.23507,1.23535,1.23467,1.23565,1.23516,1.2352233333333333,1.235255,1.235185,2196,2021-10-20 14:00:00
5168,USDCAD_i,1.23533,1.23477,1.23339,1.23556,1.234475,1.2345733333333333,1.2346225,1.2347625,3328,2021-10-20 15:00:00
5169,USDCAD_i,1.23477,1.23456,1.23441,1.23614,1.2352750000000001,1.2350366666666668,1.2349175000000001,1.2349700000000001,3820,2021-10-20 16:00:00
5170,USDCAD_i,1.23456,1.23184,1.23176,1.23503,1.233395,1.2328766666666666,1.2326175,1.2332975,4299,2021-10-20 17:00:00
5171,USDCAD_i,1.23184,1.23265,1.23176,1.23311,1.232435,1.2325066666666666,1.2325425,1.23234,3425,2021-10-20 18:00:00
5172,USDCAD_i,1.23265,1.23186,1.23137,1.23312,1.232245,1.2321166666666665,1.2320525,1.23225,2318,2021-10-20 19:00:00
5173,USDCAD_i,1.23186,1.23133,1.23086,1.23264,1.23175,1.2316099999999999,1.2315399999999999,1.2316725,3406,2021-10-20 20:00:00
5174,USDCAD_i,1.23133,1.23135,1.23062,1.23164,1.23113,1.2312033333333334,1.2312400000000001,1.231235,2427,2021-10-20 21:00:00
5175,USDCAD_i,1.2313399999999999,1.2322,1.23128,1.23248,1.2318799999999999,1.2319866666666666,1.2320399999999998,1.2318249999999997,3049,2021-10-20 22:00:00
5176,USDCAD_i,1.2321900000000001,1.2315,1.23146,1.2325599999999999,1.2320099999999998,1.2318399999999998,1.231755,1.2319274999999998,1144,2021-10-20 23:00:00
5177,USDCAD_i,1.2315,1.2315800000000001,1.23092,1.23198,1.2314500000000002,1.2314933333333336,1.2315150000000001,1.2314950000000002,411,2021-10-21 00:00:00
5178,USDCAD_i,1.2315800000000001,1.2324,1.23148,1.2324,1.2319399999999998,1.2320933333333333,1.23217,1.231965,596,2021-10-21 01:00:00
5179,USDCAD_i,1.23239,1.23247,1.23192,1.23251,1.232215,1.2323000000000002,1.2323425000000001,1.2323225,739,2021-10-21 02:00:00
5180,USDCAD_i,1.23248,1.23147,1.2313399999999999,1.2325,1.23192,1.23177,1.231695,1.2319475,1622,2021-10-21 03:00:00
5181,USDCAD_i,1.23148,1.23025,1.23018,1.2317,1.23094,1.23071,1.2305949999999999,1.2309025,2099,2021-10-21 04:00:00
5182,USDCAD_i,1.23026,1.22943,1.22869,1.23038,1.229535,1.2295,1.2294825,1.2296900000000002,1221,2021-10-21 05:00:00
5183,USDCAD_i,1.22943,1.22979,1.22896,1.22984,1.2294,1.22953,1.229595,1.229505,814,2021-10-21 06:00:00
5184,USDCAD_i,1.22979,1.2318500000000001,1.22962,1.23218,1.2309,1.2312166666666668,1.231375,1.23086,2202,2021-10-21 07:00:00
5185,USDCAD_i,1.23184,1.23293,1.23155,1.23296,1.2322549999999999,1.23248,1.2325925,1.23232,1701,2021-10-21 08:00:00
5186,USDCAD_i,1.23294,1.23397,1.23218,1.23431,1.2332450000000001,1.2334866666666668,1.2336075000000002,1.2333500000000002,3276,2021-10-21 09:00:00
5187,USDCAD_i,1.23395,1.2325599999999999,1.2323,1.23426,1.23328,1.23304,1.23292,1.2332675,2923,2021-10-21 10:00:00
5188,USDCAD_i,1.2325599999999999,1.2334100000000001,1.23234,1.23424,1.23329,1.23333,1.2333500000000002,1.2331375,1915,2021-10-21 11:00:00
5189,USDCAD_i,1.2334100000000001,1.23333,1.23326,1.23446,1.23386,1.2336833333333332,1.233595,1.233615,1661,2021-10-21 12:00:00
5190,USDCAD_i,1.23333,1.23395,1.23284,1.23397,1.2334049999999999,1.2335866666666666,1.2336775,1.2335224999999999,1686,2021-10-21 13:00:00
5191,USDCAD_i,1.23392,1.23333,1.2328999999999999,1.23442,1.23366,1.23355,1.233495,1.2336425,1509,2021-10-21 14:00:00
5192,USDCAD_i,1.23331,1.2326,1.2325,1.23411,1.233305,1.2330699999999999,1.2329525,1.23313,4244,2021-10-21 15:00:00
5193,USDCAD_i,1.23259,1.23162,1.23116,1.23313,1.232145,1.23197,1.2318825,1.232125,3838,2021-10-21 16:00:00
5194,USDCAD_i,1.23162,1.23255,1.23162,1.2336,1.23261,1.23259,1.23258,1.2323475,4552,2021-10-21 17:00:00
5195,USDCAD_i,1.23258,1.23411,1.23253,1.2353399999999999,1.2339349999999998,1.2339933333333333,1.2340225,1.2336399999999998,3339,2021-10-21 18:00:00
5196,USDCAD_i,1.23411,1.23622,1.23369,1.23645,1.23507,1.2354533333333333,1.235645,1.2351175,2049,2021-10-21 19:00:00
5197,USDCAD_i,1.23622,1.23825,1.2361,1.2383,1.2372,1.23755,1.237725,1.2372175,2392,2021-10-21 20:00:00
