,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6694,CAC40_i,7306.6,7295.6,7284.6,7314.1,7299.35,7298.100000000001,7297.475,7300.225,652,2022-01-06 02:00:00
6695,CAC40_i,7297.6,7289.1,7275.6,7300.1,7287.85,7288.266666666667,7288.475,7290.6,725,2022-01-06 03:00:00
6696,CAC40_i,7288.6,7268.6,7260.6,7289.6,7275.1,7272.933333333334,7271.85,7276.85,707,2022-01-06 04:00:00
6697,CAC40_i,7268.6,7244.1,7242.6,7270.1,7256.35,7252.266666666667,7250.225,7256.35,533,2022-01-06 05:00:00
6698,CAC40_i,7244.6,7238.6,7234.1,7246.6,7240.35,7239.766666666667,7239.475,7240.975,438,2022-01-06 06:00:00
6699,CAC40_i,7238.6,7246.1,7236.1,7249.6,7242.85,7243.933333333334,7244.475,7242.6,515,2022-01-06 07:00:00
6700,CAC40_i,7245.6,7254.3,7238.1,7259.8,7248.950000000001,7250.733333333334,7251.625,7249.450000000001,463,2022-01-06 08:00:00
6701,CAC40_i,7233.1,7260.0,7233.1,7282.0,7257.55,7258.366666666666,7258.775,7252.049999999999,1030,2022-01-06 09:00:00
6702,CAC40_i,7256.1,7274.2,7238.2,7302.7,7270.45,7271.7,7272.325,7267.799999999999,2124,2022-01-06 10:00:00
6703,CAC40_i,7273.7,7288.7,7262.2,7294.2,7278.2,7281.7,7283.45,7279.7,1356,2022-01-06 11:00:00
6704,CAC40_i,7288.7,7296.2,7285.7,7315.7,7300.7,7299.2,7298.45,7296.575,1097,2022-01-06 12:00:00
6705,CAC40_i,7296.2,7280.2,7272.2,7302.2,7287.2,7284.866666666666,7283.7,7287.7,1087,2022-01-06 13:00:00
6706,CAC40_i,7279.2,7282.7,7268.7,7287.7,7278.2,7279.7,7280.45,7279.575,987,2022-01-06 14:00:00
6707,CAC40_i,7282.2,7277.2,7271.2,7286.7,7278.95,7278.366666666666,7278.075,7279.325,870,2022-01-06 15:00:00
6708,CAC40_i,7276.7,7255.4,7253.7,7285.7,7269.7,7264.933333333333,7262.549999999999,7267.875,1323,2022-01-06 16:00:00
6709,CAC40_i,7255.4,7258.7,7239.7,7269.2,7254.45,7255.866666666666,7256.575,7255.75,1866,2022-01-06 17:00:00
6710,CAC40_i,7258.2,7253.7,7241.2,7264.2,7252.7,7253.033333333333,7253.2,7254.325,1692,2022-01-06 18:00:00
6711,CAC40_i,7254.2,7259.7,7249.7,7271.7,7260.7,7260.366666666666,7260.2,7258.825,1066,2022-01-06 19:00:00
6712,CAC40_i,7259.7,7249.7,7245.7,7265.2,7255.45,7253.533333333333,7252.575,7255.075,906,2022-01-06 20:00:00
6713,CAC40_i,7249.7,7250.7,7242.0,7254.7,7248.35,7249.133333333334,7249.525000000001,7249.275000000001,992,2022-01-06 21:00:00
6714,CAC40_i,7250.7,7230.6,7221.7,7258.2,7239.95,7236.833333333333,7235.275,7240.3,1219,2022-01-06 22:00:00
6715,CAC40_i,7253.0,7254.5,7251.0,7256.0,7253.5,7253.833333333333,7254.0,7253.625,252,2022-01-07 01:00:00
