,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4083,EURGBP_i,0.85237,0.85299,0.85233,0.85317,0.85275,0.85283,0.85287,0.852715,1714,2021-08-18 10:00:00
4084,EURGBP_i,0.853,0.85177,0.85157,0.85317,0.8523700000000001,0.8521700000000001,0.8520700000000001,0.8523775,1953,2021-08-18 11:00:00
4085,EURGBP_i,0.85177,0.85207,0.85164,0.85233,0.851985,0.8520133333333333,0.8520274999999999,0.8519525,1858,2021-08-18 12:00:00
4086,EURGBP_i,0.85208,0.85151,0.85126,0.85213,0.8516950000000001,0.8516333333333334,0.8516025,0.851745,1384,2021-08-18 13:00:00
4087,EURGBP_i,0.85149,0.85123,0.85105,0.85158,0.851315,0.8512866666666667,0.8512725000000001,0.8513375000000001,1747,2021-08-18 14:00:00
4088,EURGBP_i,0.85122,0.85104,0.85102,0.8521,0.85156,0.8513866666666666,0.8513,0.851345,2450,2021-08-18 15:00:00
4089,EURGBP_i,0.85104,0.85085,0.85053,0.85128,0.850905,0.8508866666666667,0.8508775,0.8509249999999999,2410,2021-08-18 16:00:00
4090,EURGBP_i,0.85085,0.85116,0.85079,0.85148,0.851135,0.8511433333333334,0.8511475000000001,0.85107,2425,2021-08-18 17:00:00
4091,EURGBP_i,0.85117,0.85106,0.85049,0.85131,0.8509,0.8509533333333333,0.85098,0.8510074999999999,2528,2021-08-18 18:00:00
4092,EURGBP_i,0.85105,0.85079,0.85043,0.85106,0.8507450000000001,0.8507600000000001,0.8507675,0.8508325,1717,2021-08-18 19:00:00
4093,EURGBP_i,0.85079,0.85085,0.85061,0.851,0.850805,0.85082,0.8508275,0.8508125,1378,2021-08-18 20:00:00
4094,EURGBP_i,0.85084,0.85095,0.85069,0.85183,0.8512599999999999,0.8511566666666667,0.851105,0.8510774999999999,5260,2021-08-18 21:00:00
4095,EURGBP_i,0.85096,0.85123,0.85081,0.85133,0.85107,0.8511233333333333,0.8511500000000001,0.8510825000000001,1968,2021-08-18 22:00:00
4096,EURGBP_i,0.85124,0.85099,0.85097,0.85133,0.8511500000000001,0.8510966666666667,0.85107,0.8511325000000001,1474,2021-08-18 23:00:00
4097,EURGBP_i,0.851,0.85094,0.85074,0.85145,0.851095,0.8510433333333335,0.8510175000000001,0.8510325000000001,570,2021-08-19 00:00:00
4098,EURGBP_i,0.85092,0.85133,0.85089,0.85147,0.85118,0.85123,0.851255,0.8511525,903,2021-08-19 01:00:00
4099,EURGBP_i,0.85134,0.8514,0.85126,0.85164,0.85145,0.8514333333333334,0.851425,0.85141,660,2021-08-19 02:00:00
4100,EURGBP_i,0.85141,0.85083,0.85041,0.85149,0.85095,0.8509099999999999,0.8508899999999999,0.851035,1238,2021-08-19 03:00:00
4101,EURGBP_i,0.85083,0.85104,0.85075,0.85107,0.85091,0.8509533333333333,0.850975,0.8509225,1522,2021-08-19 04:00:00
4102,EURGBP_i,0.85104,0.85093,0.85092,0.85144,0.85118,0.8510966666666667,0.851055,0.8510825,2270,2021-08-19 05:00:00
4103,EURGBP_i,0.85093,0.85077,0.85053,0.85097,0.85075,0.8507566666666667,0.85076,0.8508,1096,2021-08-19 06:00:00
4104,EURGBP_i,0.85077,0.85088,0.85075,0.85098,0.850865,0.85087,0.8508725,0.8508450000000001,746,2021-08-19 07:00:00
4105,EURGBP_i,0.85088,0.85105,0.8508,0.85127,0.851035,0.8510399999999999,0.8510424999999999,0.851,1294,2021-08-19 08:00:00
4106,EURGBP_i,0.85104,0.85173,0.85103,0.85224,0.8516349999999999,0.8516666666666666,0.8516824999999999,0.85151,2835,2021-08-19 09:00:00
4107,EURGBP_i,0.85172,0.85277,0.85163,0.85301,0.85232,0.85247,0.852545,0.8522825,3533,2021-08-19 10:00:00
4108,EURGBP_i,0.85278,0.85433,0.85278,0.85438,0.85358,0.85383,0.853955,0.8535675,3124,2021-08-19 11:00:00
4109,EURGBP_i,0.85434,0.85406,0.85365,0.85498,0.8543149999999999,0.8542299999999999,0.8541875,0.8542575,2794,2021-08-19 12:00:00
