,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25564,BTCUSD_i,36863.4,36850.4,36798.4,36902.4,36850.4,36850.4,36850.4,36853.65,654,2022-01-31 03:30:00
25565,BTCUSD_i,36850.4,36806.4,36784.4,36881.4,36832.9,36824.06666666667,36819.65,36830.65,857,2022-01-31 03:45:00
25566,BTCUSD_i,36806.4,36861.4,36631.4,36862.4,36746.9,36785.06666666667,36804.15,36790.4,1150,2022-01-31 04:00:00
25567,BTCUSD_i,36861.4,36868.4,36836.4,36937.4,36886.9,36880.73333333334,36877.65,36875.9,1012,2022-01-31 04:15:00
25568,BTCUSD_i,36868.4,36976.4,36858.4,36983.4,36920.9,36939.4,36948.65,36921.65,593,2022-01-31 04:30:00
25569,BTCUSD_i,36976.4,36982.4,36941.4,36993.4,36967.4,36972.4,36974.9,36973.4,627,2022-01-31 04:45:00
25570,BTCUSD_i,36983.4,37022.4,36913.4,37046.4,36979.9,36994.06666666667,37001.15,36991.4,731,2022-01-31 05:00:00
25571,BTCUSD_i,37022.4,36985.4,36961.4,37039.4,37000.4,36995.4,36992.9,37002.15,747,2022-01-31 05:15:00
25572,BTCUSD_i,36992.4,36990.4,36938.4,37010.4,36974.4,36979.73333333334,36982.4,36982.9,864,2022-01-31 05:30:00
25573,BTCUSD_i,36990.4,37019.4,36990.4,37026.4,37008.4,37012.06666666667,37013.9,37006.65,838,2022-01-31 05:45:00
25574,BTCUSD_i,37021.4,36959.4,36921.4,37021.4,36971.4,36967.4,36965.4,36980.9,760,2022-01-31 06:00:00
25575,BTCUSD_i,36959.4,36855.4,36840.4,36985.4,36912.9,36893.73333333334,36884.15,36910.15,722,2022-01-31 06:15:00
25576,BTCUSD_i,36855.4,36937.4,36810.4,36937.4,36873.9,36895.06666666667,36905.65,36885.15,1057,2022-01-31 06:30:00
25577,BTCUSD_i,36937.4,36896.4,36891.4,36967.4,36929.4,36918.4,36912.9,36923.15,709,2022-01-31 06:45:00
25578,BTCUSD_i,36896.4,36852.4,36836.4,36934.4,36885.4,36874.4,36868.9,36879.9,491,2022-01-31 07:00:00
25579,BTCUSD_i,36852.4,36897.4,36845.4,36930.4,36887.9,36891.06666666667,36892.65,36881.4,789,2022-01-31 07:15:00
25580,BTCUSD_i,36897.4,36974.4,36889.4,36975.4,36932.4,36946.4,36953.4,36934.15,836,2022-01-31 07:30:00
25581,BTCUSD_i,36974.4,36989.4,36962.4,37005.4,36983.9,36985.73333333334,36986.65,36982.9,814,2022-01-31 07:45:00
25582,BTCUSD_i,36990.4,37006.4,36955.4,37027.4,36991.4,36996.4,36998.9,36994.9,492,2022-01-31 08:00:00
25583,BTCUSD_i,37007.4,37044.4,37001.4,37059.4,37030.4,37035.06666666667,37037.4,37028.15,606,2022-01-31 08:15:00
25584,BTCUSD_i,37045.4,36980.4,36949.4,37046.4,36997.9,36992.06666666667,36989.15,37005.4,503,2022-01-31 08:30:00
25585,BTCUSD_i,36980.4,36908.4,36908.4,37022.4,36965.4,36946.4,36936.9,36954.9,408,2022-01-31 08:45:00
25586,BTCUSD_i,36908.4,36968.4,36870.4,36995.4,36932.9,36944.73333333334,36950.65,36935.65,495,2022-01-31 09:00:00
25587,BTCUSD_i,36966.4,37026.4,36955.4,37040.4,36997.9,37007.4,37012.15,36997.15,764,2022-01-31 09:15:00
25588,BTCUSD_i,37026.4,37160.4,37016.4,37163.4,37089.9,37113.4,37125.15,37091.65,735,2022-01-31 09:30:00
25589,BTCUSD_i,37161.4,37098.4,37086.4,37186.4,37136.4,37123.73333333334,37117.4,37133.15,977,2022-01-31 09:45:00
25590,BTCUSD_i,37098.4,37172.4,37089.4,37181.4,37135.4,37147.73333333334,37153.9,37135.4,395,2022-01-31 10:00:00
25591,BTCUSD_i,37172.4,37160.4,37119.4,37212.4,37165.9,37164.06666666667,37163.15,37166.15,634,2022-01-31 10:15:00
25592,BTCUSD_i,37161.4,37188.4,37140.4,37199.4,37169.9,37176.06666666667,37179.15,37172.4,494,2022-01-31 10:30:00
25593,BTCUSD_i,37188.4,37134.4,37113.4,37190.4,37151.9,37146.06666666667,37143.15,37156.65,500,2022-01-31 10:45:00
25594,BTCUSD_i,37135.4,37116.4,37088.4,37151.4,37119.9,37118.73333333334,37118.15,37122.9,434,2022-01-31 11:00:00
25595,BTCUSD_i,37110.4,37127.4,37089.4,37140.4,37114.9,37119.06666666667,37121.15,37116.9,334,2022-01-31 11:15:00
25596,BTCUSD_i,37127.4,37192.4,37101.4,37227.4,37164.4,37173.73333333334,37178.4,37162.15,524,2022-01-31 11:30:00
25597,BTCUSD_i,37192.4,37196.4,37180.4,37214.4,37197.4,37197.06666666667,37196.9,37195.9,431,2022-01-31 11:45:00
25598,BTCUSD_i,37196.4,37181.4,37181.4,37210.4,37195.9,37191.06666666667,37188.65,37192.4,232,2022-01-31 12:00:00
25599,BTCUSD_i,37181.4,37190.4,37153.4,37190.4,37171.9,37178.06666666667,37181.15,37178.9,416,2022-01-31 12:15:00
25600,BTCUSD_i,37190.4,37204.4,37159.4,37208.4,37183.9,37190.73333333334,37194.15,37190.65,512,2022-01-31 12:30:00
