,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6702,AUDCAD_i,0.96,0.95992,0.95978,0.9601,0.95994,0.9599333333333333,0.95993,0.95995,167,2021-03-31 02:30:00
6703,AUDCAD_i,0.95989,0.96012,0.95987,0.96026,0.960065,0.9600833333333333,0.9600924999999999,0.960035,256,2021-03-31 02:45:00
6704,AUDCAD_i,0.96011,0.96013,0.95974,0.96022,0.95998,0.96003,0.960055,0.9600500000000001,466,2021-03-31 03:00:00
6705,AUDCAD_i,0.96014,0.96009,0.95991,0.9603,0.960105,0.9601000000000001,0.9600975,0.96011,516,2021-03-31 03:15:00
6706,AUDCAD_i,0.96008,0.96002,0.95999,0.96056,0.960275,0.96019,0.9601475,0.9601625,516,2021-03-31 03:30:00
6707,AUDCAD_i,0.96002,0.95964,0.9596,0.96049,0.960045,0.9599100000000002,0.9598425000000002,0.9599375000000001,879,2021-03-31 03:45:00
6708,AUDCAD_i,0.95961,0.96007,0.95959,0.96031,0.9599500000000001,0.95999,0.96001,0.959895,399,2021-03-31 04:00:00
6709,AUDCAD_i,0.96008,0.9599,0.95989,0.96024,0.960065,0.9600099999999999,0.9599825,0.9600274999999999,372,2021-03-31 04:15:00
6710,AUDCAD_i,0.9599,0.9597,0.95941,0.95994,0.9596750000000001,0.9596833333333334,0.9596875,0.9597375000000001,582,2021-03-31 04:30:00
6711,AUDCAD_i,0.95969,0.95994,0.95969,0.96018,0.959935,0.9599366666666667,0.9599375,0.959875,486,2021-03-31 04:45:00
6712,AUDCAD_i,0.95992,0.96012,0.95976,0.96028,0.96002,0.9600533333333333,0.96007,0.96002,536,2021-03-31 05:00:00
6713,AUDCAD_i,0.96012,0.95976,0.95947,0.96019,0.95983,0.9598066666666666,0.959795,0.9598849999999999,619,2021-03-31 05:15:00
6714,AUDCAD_i,0.95976,0.9598,0.95966,0.96006,0.9598599999999999,0.9598399999999999,0.95983,0.9598199999999999,560,2021-03-31 05:30:00
6715,AUDCAD_i,0.95979,0.95961,0.95955,0.95998,0.959765,0.9597133333333333,0.9596875,0.9597325,472,2021-03-31 05:45:00
6716,AUDCAD_i,0.95964,0.9594,0.95897,0.95964,0.9593050000000001,0.9593366666666667,0.9593525,0.9594125,463,2021-03-31 06:00:00
6717,AUDCAD_i,0.9594,0.96,0.9593,0.96001,0.959655,0.9597700000000001,0.9598275000000001,0.9596775000000001,570,2021-03-31 06:15:00
6718,AUDCAD_i,0.95996,0.95966,0.95962,0.96002,0.95982,0.9597666666666665,0.9597399999999999,0.959815,458,2021-03-31 06:30:00
6719,AUDCAD_i,0.95967,0.95957,0.95945,0.9597,0.9595750000000001,0.9595733333333335,0.9595725000000002,0.9595975000000001,480,2021-03-31 06:45:00
6720,AUDCAD_i,0.95959,0.95969,0.95945,0.95976,0.959605,0.9596333333333334,0.9596475000000001,0.9596225,341,2021-03-31 07:00:00
6721,AUDCAD_i,0.95971,0.95945,0.95945,0.95975,0.9596,0.95955,0.959525,0.9595899999999999,395,2021-03-31 07:15:00
6722,AUDCAD_i,0.95944,0.95912,0.95904,0.95944,0.95924,0.9592,0.95918,0.95926,292,2021-03-31 07:30:00
6723,AUDCAD_i,0.95916,0.95897,0.95891,0.95924,0.959075,0.95904,0.9590225,0.9590700000000001,410,2021-03-31 07:45:00
6724,AUDCAD_i,0.95897,0.95872,0.95854,0.95913,0.958835,0.9587966666666666,0.9587775,0.9588399999999999,411,2021-03-31 08:00:00
6725,AUDCAD_i,0.95871,0.95856,0.95837,0.95909,0.9587300000000001,0.9586733333333334,0.958645,0.9586825,306,2021-03-31 08:15:00
6726,AUDCAD_i,0.95856,0.95854,0.95846,0.95893,0.958695,0.9586433333333333,0.9586174999999999,0.9586224999999999,319,2021-03-31 08:30:00
