,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16835,GER40_i,13911.8,13897.8,13893.8,13919.8,13906.8,13903.799999999997,13902.3,13905.8,1415,2021-01-26 17:45:00
16836,GER40_i,13896.8,13881.8,13875.8,13905.8,13890.8,13887.799999999997,13886.3,13890.05,1805,2021-01-26 18:00:00
16837,GER40_i,13882.8,13891.8,13870.8,13899.8,13885.3,13887.466666666665,13888.55,13886.3,1815,2021-01-26 18:15:00
16838,GER40_i,13889.8,13872.8,13867.8,13889.8,13878.8,13876.799999999997,13875.8,13880.05,1575,2021-01-26 18:30:00
16839,GER40_i,13873.8,13860.8,13852.8,13877.8,13865.3,13863.799999999997,13863.05,13866.3,1275,2021-01-26 18:45:00
16840,GER40_i,13861.8,13865.8,13857.8,13871.8,13864.8,13865.133333333331,13865.3,13864.3,935,2021-01-26 19:00:00
16841,GER40_i,13865.8,13884.8,13860.8,13888.8,13874.8,13878.133333333331,13879.8,13875.05,715,2021-01-26 19:15:00
16842,GER40_i,13883.8,13871.8,13870.8,13886.8,13878.8,13876.466666666665,13875.3,13878.3,595,2021-01-26 19:30:00
16843,GER40_i,13871.8,13872.8,13867.8,13879.8,13873.8,13873.466666666665,13873.3,13873.05,815,2021-01-26 19:45:00
16844,GER40_i,13873.8,13884.8,13870.8,13886.8,13878.8,13880.799999999997,13881.8,13879.05,705,2021-01-26 20:00:00
16845,GER40_i,13884.8,13884.8,13881.8,13888.8,13885.3,13885.133333333331,13885.05,13885.05,483,2021-01-26 20:15:00
16846,GER40_i,13884.8,13894.8,13882.8,13895.8,13889.3,13891.133333333331,13892.05,13889.55,515,2021-01-26 20:30:00
16847,GER40_i,13894.8,13892.8,13884.8,13894.8,13889.8,13890.799999999997,13891.3,13891.8,475,2021-01-26 20:45:00
16848,GER40_i,13891.8,13898.8,13889.8,13900.8,13895.3,13896.466666666665,13897.05,13895.3,415,2021-01-26 21:00:00
16849,GER40_i,13898.8,13892.8,13883.8,13900.8,13892.3,13892.466666666665,13892.55,13894.05,685,2021-01-26 21:15:00
16850,GER40_i,13892.8,13892.8,13890.8,13897.8,13894.3,13893.799999999997,13893.55,13893.55,525,2021-01-26 21:30:00
16851,GER40_i,13891.8,13896.8,13883.8,13897.8,13890.8,13892.799999999997,13893.8,13892.55,605,2021-01-26 21:45:00
16852,GER40_i,13897.8,13898.8,13888.8,13904.8,13896.8,13897.466666666665,13897.8,13897.55,665,2021-01-26 22:00:00
16853,GER40_i,13897.8,13901.8,13890.8,13902.8,13896.8,13898.466666666665,13899.3,13898.3,635,2021-01-26 22:15:00
16854,GER40_i,13860.4,13860.4,13847.4,13861.4,13854.4,13856.4,13857.4,13857.4,836,2021-01-27 09:30:00
16855,GER40_i,13860.4,13854.4,13841.4,13861.4,13851.4,13852.4,13852.9,13854.4,1161,2021-01-27 09:45:00
16856,GER40_i,13852.4,13829.7,13783.7,13852.4,13818.05,13821.933333333334,13823.875,13829.550000000001,3676,2021-01-27 10:00:00
16857,GER40_i,13829.7,13812.7,13810.7,13842.7,13826.7,13822.033333333335,13819.7,13823.95,2303,2021-01-27 10:15:00
16858,GER40_i,13813.7,13820.7,13809.7,13833.7,13821.7,13821.366666666669,13821.2,13819.45,1945,2021-01-27 10:30:00
16859,GER40_i,13819.7,13804.7,13791.7,13819.7,13805.7,13805.366666666669,13805.2,13808.95,1571,2021-01-27 10:45:00
16860,GER40_i,13804.7,13823.7,13801.7,13841.7,13821.7,13822.366666666669,13822.7,13817.95,1805,2021-01-27 11:00:00
16861,GER40_i,13823.7,13846.7,13821.7,13853.7,13837.7,13840.700000000003,13842.2,13836.45,1655,2021-01-27 11:15:00
16862,GER40_i,13846.7,13831.7,13828.7,13850.7,13839.7,13837.033333333335,13835.7,13839.45,1125,2021-01-27 11:30:00
16863,GER40_i,13831.7,13825.7,13818.7,13834.7,13826.7,13826.366666666669,13826.2,13827.7,1145,2021-01-27 11:45:00
16864,GER40_i,13825.7,13800.7,13795.7,13828.7,13812.2,13808.366666666669,13806.45,13812.7,1175,2021-01-27 12:00:00
16865,GER40_i,13800.7,13806.7,13793.7,13816.7,13805.2,13805.700000000003,13805.95,13804.45,1096,2021-01-27 12:15:00
16866,GER40_i,13806.7,13776.7,13776.7,13810.7,13793.7,13788.033333333335,13785.2,13792.7,1399,2021-01-27 12:30:00
16867,GER40_i,13776.7,13764.7,13759.7,13784.7,13772.2,13769.700000000003,13768.45,13771.45,1623,2021-01-27 12:45:00
16868,GER40_i,13763.7,13745.7,13721.7,13764.7,13743.2,13744.033333333335,13744.45,13748.95,2045,2021-01-27 13:00:00
16869,GER40_i,13744.7,13724.7,13704.7,13752.7,13728.7,13727.366666666669,13726.7,13731.7,1645,2021-01-27 13:15:00
16870,GER40_i,13724.7,13675.7,13670.7,13724.7,13697.7,13690.366666666669,13686.7,13698.95,2195,2021-01-27 13:30:00
16871,GER40_i,13674.7,13647.7,13624.0,13677.7,13650.85,13649.800000000001,13649.275000000001,13656.025000000001,3233,2021-01-27 13:45:00
16872,GER40_i,13647.7,13642.7,13633.7,13665.7,13649.7,13647.366666666669,13646.2,13647.45,2355,2021-01-27 14:00:00
16873,GER40_i,13642.7,13640.7,13611.7,13643.7,13627.7,13632.033333333335,13634.2,13634.7,2669,2021-01-27 14:15:00
16874,GER40_i,13640.7,13608.7,13601.7,13643.7,13622.7,13618.033333333335,13615.7,13623.7,2871,2021-01-27 14:30:00
16875,GER40_i,13607.7,13604.7,13594.7,13636.7,13615.7,13612.033333333335,13610.2,13610.95,2165,2021-01-27 14:45:00
16876,GER40_i,13604.7,13625.7,13591.7,13626.7,13609.2,13614.700000000003,13617.45,13612.2,2225,2021-01-27 15:00:00
16877,GER40_i,13627.7,13649.7,13621.7,13666.7,13644.2,13646.033333333335,13646.95,13641.45,1843,2021-01-27 15:15:00
16878,GER40_i,13649.7,13603.7,13572.7,13654.7,13613.7,13610.366666666669,13608.7,13620.2,2645,2021-01-27 15:30:00
16879,GER40_i,13602.7,13591.7,13580.7,13617.7,13599.2,13596.700000000003,13595.45,13598.2,1875,2021-01-27 15:45:00
