,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
29386,AUDNZD_i,1.07079,1.07096,1.07071,1.07111,1.07091,1.0709266666666666,1.070935,1.0708925,2307,2022-02-24 16:30:00
29387,AUDNZD_i,1.07089,1.07046,1.07046,1.07152,1.07099,1.0708133333333334,1.070725,1.0708324999999999,2344,2022-02-24 16:45:00
29388,AUDNZD_i,1.07048,1.07177,1.0704,1.07191,1.071155,1.07136,1.0714625,1.07114,2005,2022-02-24 17:00:00
29389,AUDNZD_i,1.07177,1.07137,1.07098,1.07201,1.071495,1.0714533333333334,1.0714325,1.0715325,1795,2022-02-24 17:15:00
29390,AUDNZD_i,1.07139,1.07046,1.07046,1.07149,1.070975,1.0708033333333333,1.0707175,1.07095,1896,2022-02-24 17:30:00
29391,AUDNZD_i,1.07045,1.06966,1.06952,1.07098,1.0702500000000001,1.0700533333333333,1.069955,1.0701525,1732,2022-02-24 17:45:00
29392,AUDNZD_i,1.06963,1.0712,1.06938,1.07152,1.0704500000000001,1.0707000000000002,1.0708250000000001,1.0704325000000001,1893,2022-02-24 18:00:00
29393,AUDNZD_i,1.07119,1.07159,1.07088,1.0719,1.07139,1.0714566666666667,1.07149,1.07139,1215,2022-02-24 18:15:00
29394,AUDNZD_i,1.07162,1.07212,1.07131,1.07216,1.0717349999999999,1.0718633333333332,1.0719275,1.0718025,1408,2022-02-24 18:30:00
29395,AUDNZD_i,1.07212,1.0721,1.0717,1.07231,1.072005,1.0720366666666667,1.0720525,1.0720575,979,2022-02-24 18:45:00
29396,AUDNZD_i,1.07208,1.07187,1.07175,1.07213,1.0719400000000001,1.0719166666666669,1.071905,1.0719575000000001,1046,2022-02-24 19:00:00
29397,AUDNZD_i,1.07187,1.07185,1.07173,1.07206,1.071895,1.07188,1.0718725,1.0718775,1162,2022-02-24 19:15:00
29398,AUDNZD_i,1.07183,1.07159,1.07155,1.0722,1.071875,1.07178,1.0717325,1.0717925,1203,2022-02-24 19:30:00
29399,AUDNZD_i,1.07159,1.07202,1.07144,1.07206,1.07175,1.07184,1.071885,1.0717775,893,2022-02-24 19:45:00
29400,AUDNZD_i,1.07204,1.07128,1.07117,1.0723,1.0717349999999999,1.071583333333333,1.0715074999999998,1.0716975,960,2022-02-24 20:00:00
29401,AUDNZD_i,1.07127,1.07141,1.07108,1.07163,1.071355,1.0713733333333335,1.0713825000000001,1.0713475000000001,909,2022-02-24 20:15:00
29402,AUDNZD_i,1.07141,1.07102,1.07098,1.07147,1.071225,1.0711566666666668,1.0711225,1.07122,850,2022-02-24 20:30:00
29403,AUDNZD_i,1.07101,1.07094,1.07065,1.0718,1.071225,1.0711300000000001,1.0710825000000002,1.0711000000000002,2161,2022-02-24 20:45:00
29404,AUDNZD_i,1.0709,1.07095,1.07044,1.07107,1.0707550000000001,1.07082,1.0708525,1.07084,2165,2022-02-24 21:00:00
29405,AUDNZD_i,1.07095,1.07131,1.07094,1.07137,1.071155,1.0712066666666666,1.0712325,1.0711425,1556,2022-02-24 21:15:00
29406,AUDNZD_i,1.07128,1.06964,1.06964,1.07148,1.07056,1.0702533333333333,1.0700999999999998,1.0705099999999999,1197,2022-02-24 21:30:00
29407,AUDNZD_i,1.06964,1.07036,1.06953,1.07038,1.0699550000000002,1.0700900000000002,1.0701575,1.0699775,1400,2022-02-24 21:45:00
29408,AUDNZD_i,1.07039,1.06938,1.06934,1.07039,1.069865,1.0697033333333332,1.0696225,1.069875,1482,2022-02-24 22:00:00
29409,AUDNZD_i,1.06936,1.0688900000000001,1.06839,1.06954,1.068965,1.06894,1.0689275,1.069045,1218,2022-02-24 22:15:00
29410,AUDNZD_i,1.06888,1.0702099999999999,1.06881,1.07028,1.069545,1.0697666666666665,1.0698775,1.069545,1428,2022-02-24 22:30:00
29411,AUDNZD_i,1.0702,1.06934,1.06897,1.0703,1.069635,1.0695366666666666,1.0694875,1.0697025,1241,2022-02-24 22:45:00
29412,AUDNZD_i,1.06933,1.06922,1.06892,1.0695000000000001,1.06921,1.0692133333333333,1.069215,1.0692425,816,2022-02-24 23:00:00
29413,AUDNZD_i,1.06921,1.06969,1.06894,1.06976,1.06935,1.0694633333333334,1.06952,1.0694,552,2022-02-24 23:15:00
29414,AUDNZD_i,1.06969,1.06983,1.06959,1.06999,1.06979,1.0698033333333334,1.06981,1.069775,268,2022-02-24 23:30:00
29415,AUDNZD_i,1.06984,1.06981,1.06966,1.07019,1.069925,1.0698866666666667,1.0698675,1.069875,193,2022-02-24 23:45:00
29416,AUDNZD_i,1.06938,1.06984,1.0692,1.0702099999999999,1.069705,1.06975,1.0697725,1.0696575,64,2022-02-25 00:00:00
29417,AUDNZD_i,1.06984,1.06922,1.06897,1.07103,1.0699999999999998,1.06974,1.06961,1.0697649999999999,295,2022-02-25 00:15:00
29418,AUDNZD_i,1.06929,1.06976,1.06927,1.07078,1.070025,1.0699366666666668,1.0698925,1.069775,299,2022-02-25 00:30:00
29419,AUDNZD_i,1.06979,1.07015,1.06974,1.07057,1.070155,1.0701533333333333,1.0701524999999998,1.0700625,251,2022-02-25 00:45:00
29420,AUDNZD_i,1.07015,1.07051,1.06983,1.07075,1.07029,1.0703633333333333,1.0704,1.07031,453,2022-02-25 01:00:00
29421,AUDNZD_i,1.0705,1.07066,1.07033,1.07079,1.07056,1.0705933333333333,1.07061,1.07057,321,2022-02-25 01:15:00
29422,AUDNZD_i,1.07067,1.07027,1.07018,1.07067,1.070425,1.0703733333333334,1.0703475,1.0704475,340,2022-02-25 01:30:00
29423,AUDNZD_i,1.07027,1.07034,1.07027,1.0706,1.070435,1.0704033333333334,1.0703875,1.07037,300,2022-02-25 01:45:00
29424,AUDNZD_i,1.07034,1.07028,1.07026,1.0709,1.07058,1.07048,1.07043,1.070445,617,2022-02-25 02:00:00
29425,AUDNZD_i,1.07028,1.06986,1.06965,1.0705,1.070075,1.0700033333333334,1.0699675000000002,1.0700725000000002,665,2022-02-25 02:15:00
29426,AUDNZD_i,1.06986,1.06995,1.06967,1.07005,1.0698599999999998,1.0698899999999998,1.0699049999999999,1.0698824999999998,562,2022-02-25 02:30:00
29427,AUDNZD_i,1.06993,1.06879,1.06759,1.07003,1.06881,1.0688033333333333,1.0688,1.069085,1262,2022-02-25 02:45:00
29428,AUDNZD_i,1.0688,1.06936,1.0688,1.06977,1.069285,1.06931,1.0693225000000002,1.0691825000000001,1054,2022-02-25 03:00:00
29429,AUDNZD_i,1.06936,1.06989,1.06893,1.07002,1.069475,1.0696133333333333,1.0696824999999999,1.06955,992,2022-02-25 03:15:00
29430,AUDNZD_i,1.06989,1.0695999999999999,1.06941,1.07006,1.069735,1.06969,1.0696675,1.06974,1101,2022-02-25 03:30:00
29431,AUDNZD_i,1.06962,1.07074,1.06957,1.07078,1.0701749999999999,1.0703633333333331,1.0704574999999998,1.0701774999999998,1144,2022-02-25 03:45:00
29432,AUDNZD_i,1.07074,1.07045,1.07029,1.07081,1.07055,1.0705166666666666,1.0705,1.0705725,698,2022-02-25 04:00:00
29433,AUDNZD_i,1.07045,1.07025,1.06983,1.07046,1.0701450000000001,1.07018,1.0701975,1.0702475,614,2022-02-25 04:15:00
29434,AUDNZD_i,1.07025,1.07043,1.07025,1.07095,1.0706,1.0705433333333334,1.0705149999999999,1.07047,611,2022-02-25 04:30:00
29435,AUDNZD_i,1.07043,1.07063,1.07005,1.07067,1.07036,1.07045,1.070495,1.0704449999999999,767,2022-02-25 04:45:00
29436,AUDNZD_i,1.07063,1.07104,1.07063,1.07111,1.07087,1.0709266666666666,1.070955,1.0708525,397,2022-02-25 05:00:00
29437,AUDNZD_i,1.07104,1.07165,1.07101,1.07184,1.071425,1.0715000000000001,1.0715375,1.071385,582,2022-02-25 05:15:00
29438,AUDNZD_i,1.07166,1.07132,1.07128,1.07182,1.07155,1.0714733333333333,1.0714350000000001,1.07152,953,2022-02-25 05:30:00
29439,AUDNZD_i,1.07132,1.07101,1.0707,1.07138,1.07104,1.0710300000000001,1.0710250000000001,1.0711025,946,2022-02-25 05:45:00
29440,AUDNZD_i,1.07101,1.0706,1.07043,1.07127,1.07085,1.0707666666666666,1.070725,1.0708275,576,2022-02-25 06:00:00
29441,AUDNZD_i,1.0706,1.07075,1.07028,1.07088,1.07058,1.070636666666667,1.0706650000000002,1.0706275,541,2022-02-25 06:15:00
29442,AUDNZD_i,1.07076,1.07054,1.07026,1.07091,1.070585,1.07057,1.0705625,1.0706175,517,2022-02-25 06:30:00
29443,AUDNZD_i,1.07056,1.07162,1.07051,1.07165,1.07108,1.0712599999999999,1.07135,1.071085,840,2022-02-25 06:45:00
