,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16987,NZDCHF_i,0.63667,0.6362,0.63608,0.6367,0.63639,0.6363266666666667,0.636295,0.6364125,192,2021-08-27 05:45:00
16988,NZDCHF_i,0.6362,0.63614,0.63612,0.63634,0.6362300000000001,0.6362000000000001,0.6361850000000001,0.6362000000000001,108,2021-08-27 06:00:00
16989,NZDCHF_i,0.63613,0.63602,0.63571,0.63617,0.63594,0.6359666666666667,0.63598,0.6360075,212,2021-08-27 06:15:00
16990,NZDCHF_i,0.63601,0.63611,0.63587,0.63627,0.63607,0.6360833333333333,0.63609,0.636065,224,2021-08-27 06:30:00
16991,NZDCHF_i,0.63611,0.63596,0.63595,0.63622,0.636085,0.6360433333333333,0.6360224999999999,0.63606,131,2021-08-27 06:45:00
16992,NZDCHF_i,0.63596,0.63607,0.6358,0.63612,0.6359600000000001,0.6359966666666668,0.6360150000000001,0.6359875,155,2021-08-27 07:00:00
16993,NZDCHF_i,0.63607,0.63594,0.63572,0.63627,0.635995,0.6359766666666666,0.6359675,0.636,325,2021-08-27 07:15:00
16994,NZDCHF_i,0.63592,0.63598,0.63586,0.63609,0.635975,0.6359766666666666,0.6359775,0.6359625,117,2021-08-27 07:30:00
16995,NZDCHF_i,0.63598,0.63608,0.63592,0.63621,0.6360650000000001,0.63607,0.6360725,0.6360475000000001,172,2021-08-27 07:45:00
16996,NZDCHF_i,0.63609,0.6359,0.63585,0.63614,0.6359950000000001,0.6359633333333333,0.6359475,0.6359950000000001,277,2021-08-27 08:00:00
16997,NZDCHF_i,0.63591,0.63612,0.63584,0.63616,0.6359999999999999,0.6360399999999999,0.63606,0.6360075,281,2021-08-27 08:15:00
16998,NZDCHF_i,0.63612,0.63646,0.63609,0.63646,0.636275,0.6363366666666667,0.6363675,0.6362825000000001,287,2021-08-27 08:30:00
16999,NZDCHF_i,0.63645,0.63645,0.63625,0.63651,0.63638,0.6364033333333333,0.636415,0.636415,159,2021-08-27 08:45:00
17000,NZDCHF_i,0.63645,0.63665,0.63623,0.6367,0.6364650000000001,0.6365266666666667,0.6365575,0.6365075,176,2021-08-27 09:00:00
17001,NZDCHF_i,0.63665,0.63665,0.63651,0.63685,0.63668,0.6366700000000001,0.636665,0.636665,232,2021-08-27 09:15:00
17002,NZDCHF_i,0.63662,0.63655,0.6365,0.63685,0.636675,0.6366333333333333,0.6366125,0.63663,273,2021-08-27 09:30:00
17003,NZDCHF_i,0.63655,0.63685,0.63655,0.63718,0.636865,0.63686,0.6368575,0.6367825,268,2021-08-27 09:45:00
17004,NZDCHF_i,0.63685,0.6362,0.6362,0.63686,0.63653,0.6364200000000001,0.6363650000000001,0.6365275,247,2021-08-27 10:00:00
17005,NZDCHF_i,0.63625,0.6367,0.63625,0.6368,0.636525,0.6365833333333334,0.6366125,0.6365000000000001,225,2021-08-27 10:15:00
17006,NZDCHF_i,0.63665,0.63706,0.63665,0.63735,0.637,0.63702,0.63703,0.6369275,227,2021-08-27 10:30:00
17007,NZDCHF_i,0.63706,0.63727,0.63695,0.63736,0.637155,0.6371933333333334,0.6372125,0.63716,204,2021-08-27 10:45:00
17008,NZDCHF_i,0.63725,0.63725,0.6372,0.63758,0.63739,0.6373433333333334,0.63732,0.63732,349,2021-08-27 11:00:00
17009,NZDCHF_i,0.63725,0.63765,0.63722,0.6377,0.63746,0.6375233333333333,0.6375550000000001,0.637455,291,2021-08-27 11:15:00
17010,NZDCHF_i,0.63766,0.63811,0.63755,0.63817,0.63786,0.6379433333333333,0.637985,0.6378725,313,2021-08-27 11:30:00
17011,NZDCHF_i,0.63811,0.63841,0.63808,0.63848,0.63828,0.6383233333333332,0.6383449999999999,0.6382699999999999,226,2021-08-27 11:45:00
17012,NZDCHF_i,0.63845,0.6377,0.63763,0.63845,0.6380399999999999,0.6379266666666666,0.63787,0.6380574999999999,235,2021-08-27 12:00:00
17013,NZDCHF_i,0.6377,0.63788,0.63747,0.63788,0.637675,0.6377433333333333,0.6377775,0.6377325,188,2021-08-27 12:15:00
17014,NZDCHF_i,0.6379,0.63805,0.63785,0.63815,0.638,0.6380166666666667,0.6380250000000001,0.6379875,208,2021-08-27 12:30:00
17015,NZDCHF_i,0.63805,0.6379,0.6378,0.63835,0.638075,0.6380166666666667,0.6379875,0.6380250000000001,209,2021-08-27 12:45:00
17016,NZDCHF_i,0.63795,0.63791,0.6379,0.63815,0.6380250000000001,0.6379866666666667,0.6379675,0.6379775000000001,295,2021-08-27 13:00:00
17017,NZDCHF_i,0.63791,0.63768,0.63765,0.638,0.6378250000000001,0.6377766666666668,0.6377525,0.63781,305,2021-08-27 13:15:00
17018,NZDCHF_i,0.63768,0.63775,0.63757,0.63785,0.63771,0.6377233333333333,0.63773,0.6377125,240,2021-08-27 13:30:00
17019,NZDCHF_i,0.63775,0.6375,0.63745,0.63781,0.6376299999999999,0.6375866666666666,0.6375649999999999,0.6376275,219,2021-08-27 13:45:00
17020,NZDCHF_i,0.6375,0.63755,0.63745,0.63775,0.6376,0.6375833333333333,0.637575,0.6375625,180,2021-08-27 14:00:00
17021,NZDCHF_i,0.63755,0.6378,0.63745,0.63785,0.63765,0.6377,0.637725,0.6376625,163,2021-08-27 14:15:00
17022,NZDCHF_i,0.6378,0.63775,0.63761,0.6379,0.6377550000000001,0.6377533333333334,0.6377525,0.637765,176,2021-08-27 14:30:00
17023,NZDCHF_i,0.63775,0.6375,0.63725,0.63775,0.6375,0.6375,0.6375,0.6375625,250,2021-08-27 14:45:00
17024,NZDCHF_i,0.6375,0.6375,0.63735,0.6377,0.637525,0.6375166666666666,0.6375124999999999,0.6375124999999999,276,2021-08-27 15:00:00
17025,NZDCHF_i,0.63751,0.6377,0.6375,0.63785,0.637675,0.6376833333333334,0.6376875000000001,0.63764,393,2021-08-27 15:15:00
17026,NZDCHF_i,0.6377,0.63818,0.63744,0.63822,0.63783,0.6379466666666667,0.6380049999999999,0.637885,568,2021-08-27 15:30:00
17027,NZDCHF_i,0.63819,0.6382,0.63787,0.63835,0.63811,0.6381399999999999,0.6381549999999999,0.6381524999999999,434,2021-08-27 15:45:00
17028,NZDCHF_i,0.6382,0.63795,0.63765,0.63825,0.63795,0.63795,0.63795,0.6380125,605,2021-08-27 16:00:00
17029,NZDCHF_i,0.6379,0.63755,0.63755,0.638,0.637775,0.6377,0.6376625,0.63775,369,2021-08-27 16:15:00
17030,NZDCHF_i,0.6376,0.63747,0.63732,0.63775,0.637535,0.6375133333333333,0.6375025,0.637535,478,2021-08-27 16:30:00
17031,NZDCHF_i,0.6375,0.6371,0.63678,0.63765,0.6372150000000001,0.6371766666666667,0.6371575,0.6372575,970,2021-08-27 16:45:00
17032,NZDCHF_i,0.63714,0.63879,0.63616,0.63889,0.6375249999999999,0.6379466666666666,0.6381574999999999,0.637745,2032,2021-08-27 17:00:00
17033,NZDCHF_i,0.6388,0.6392,0.63867,0.63955,0.63911,0.6391399999999999,0.6391549999999999,0.6390549999999999,1209,2021-08-27 17:15:00
17034,NZDCHF_i,0.6392,0.63966,0.63898,0.6398,0.63939,0.6394799999999999,0.639525,0.63941,744,2021-08-27 17:30:00
17035,NZDCHF_i,0.6397,0.6394,0.63883,0.6398,0.6393150000000001,0.6393433333333334,0.6393575,0.6394325000000001,895,2021-08-27 17:45:00
17036,NZDCHF_i,0.63939,0.6391,0.6388,0.63982,0.63931,0.63924,0.639205,0.6392775,676,2021-08-27 18:00:00
