,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
30207,GER40_m_i,15492.9,15484.9,15481.9,15493.9,15487.9,15486.9,15486.4,15488.4,307,2022-01-26 19:45:00
30208,GER40_m_i,15485.8,15475.8,15449.8,15486.9,15468.349999999999,15470.833333333334,15472.075,15474.575,363,2022-01-26 20:00:00
30209,GER40_m_i,15475.8,15463.8,15447.8,15476.8,15462.3,15462.799999999997,15463.05,15466.05,374,2022-01-26 20:15:00
30210,GER40_m_i,15463.8,15465.8,15456.8,15471.8,15464.3,15464.799999999997,15465.05,15464.55,406,2022-01-26 20:30:00
30211,GER40_m_i,15465.8,15460.1,15456.8,15481.8,15469.3,15466.233333333332,15464.699999999999,15466.125,314,2022-01-26 20:45:00
30212,GER40_m_i,15460.1,15449.9,15439.9,15549.9,15494.9,15479.9,15472.4,15474.949999999999,1306,2022-01-26 21:00:00
30213,GER40_m_i,15450.8,15492.9,15437.8,15500.8,15469.3,15477.166666666666,15481.1,15470.575,979,2022-01-26 21:15:00
30214,GER40_m_i,15492.8,15437.8,15437.8,15499.8,15468.8,15458.466666666665,15453.3,15467.05,1315,2022-01-26 21:30:00
30215,GER40_m_i,15435.8,15411.9,15393.8,15440.8,15417.3,15415.5,15414.6,15420.575,1530,2022-01-26 21:45:00
30216,GER40_m_i,15409.9,15306.8,15283.9,15409.9,15346.9,15333.533333333333,15326.849999999999,15352.625,955,2022-01-26 22:00:00
30217,GER40_m_i,15308.9,15345.9,15265.9,15352.9,15309.4,15321.566666666666,15327.65,15318.4,1040,2022-01-26 22:15:00
30218,GER40_m_i,15162.3,15202.3,15155.2,15205.3,15180.25,15187.6,15191.275000000001,15181.275000000001,685,2022-01-27 09:30:00
30219,GER40_m_i,15202.2,15195.2,15179.2,15221.3,15200.25,15198.566666666666,15197.724999999999,15199.474999999999,628,2022-01-27 09:45:00
30220,GER40_m_i,15191.2,15257.5,15187.6,15257.5,15222.55,15234.199999999999,15240.025,15223.45,1220,2022-01-27 10:00:00
30221,GER40_m_i,15257.5,15209.8,15198.3,15267.4,15232.849999999999,15225.166666666666,15221.325,15233.25,864,2022-01-27 10:15:00
30222,GER40_m_i,15211.8,15253.1,15197.3,15254.1,15225.7,15234.833333333334,15239.4,15229.075,775,2022-01-27 10:30:00
30223,GER40_m_i,15251.1,15317.1,15245.1,15321.1,15283.1,15294.433333333334,15300.1,15283.6,775,2022-01-27 10:45:00
30224,GER40_m_i,15318.1,15320.1,15298.6,15335.6,15317.1,15318.1,15318.6,15318.1,692,2022-01-27 11:00:00
30225,GER40_m_i,15320.1,15361.0,15308.3,15362.0,15335.15,15343.766666666668,15348.075,15337.85,724,2022-01-27 11:15:00
30226,GER40_m_i,15360.0,15357.1,15329.0,15363.1,15346.05,15349.733333333332,15351.574999999999,15352.3,689,2022-01-27 11:30:00
30227,GER40_m_i,15358.1,15398.1,15351.0,15410.1,15380.55,15386.4,15389.324999999999,15379.324999999999,688,2022-01-27 11:45:00
30228,GER40_m_i,15398.1,15390.5,15388.1,15424.0,15406.05,15400.866666666667,15398.275,15400.175,641,2022-01-27 12:00:00
30229,GER40_m_i,15390.8,15412.1,15370.9,15415.3,15393.099999999999,15399.433333333332,15402.599999999999,15397.274999999998,754,2022-01-27 12:15:00
30230,GER40_m_i,15412.9,15412.0,15396.9,15423.1,15410.0,15410.666666666666,15411.0,15411.225,725,2022-01-27 12:30:00
30231,GER40_m_i,15412.4,15343.7,15333.9,15426.6,15380.25,15368.066666666666,15361.974999999999,15379.15,867,2022-01-27 12:45:00
30232,GER40_m_i,15343.7,15375.4,15342.0,15378.4,15360.2,15365.266666666668,15367.800000000001,15359.875,745,2022-01-27 13:00:00
30233,GER40_m_i,15374.4,15391.2,15357.0,15393.2,15375.1,15380.466666666667,15383.150000000001,15378.95,597,2022-01-27 13:15:00
30234,GER40_m_i,15392.2,15366.3,15355.6,15396.2,15375.900000000001,15372.700000000003,15371.100000000002,15377.575,671,2022-01-27 13:30:00
30235,GER40_m_i,15366.4,15398.4,15356.1,15401.1,15378.6,15385.199999999999,15388.5,15380.5,640,2022-01-27 13:45:00
30236,GER40_m_i,15400.1,15417.6,15382.1,15420.3,15401.2,15406.666666666666,15409.4,15405.025,666,2022-01-27 14:00:00
30237,GER40_m_i,15417.2,15396.1,15380.8,15422.7,15401.75,15399.866666666667,15398.925,15404.2,692,2022-01-27 14:15:00
30238,GER40_m_i,15395.8,15395.8,15371.8,15404.1,15387.95,15390.566666666666,15391.875,15391.875,612,2022-01-27 14:30:00
30239,GER40_m_i,15395.8,15424.3,15395.7,15437.1,15416.400000000001,15419.033333333335,15420.350000000002,15413.225000000002,655,2022-01-27 14:45:00
30240,GER40_m_i,15424.3,15445.0,15423.9,15455.0,15439.45,15441.300000000001,15442.225,15437.05,734,2022-01-27 15:00:00
30241,GER40_m_i,15445.0,15458.9,15435.3,15469.1,15452.2,15454.433333333334,15455.550000000001,15452.075,543,2022-01-27 15:15:00
30242,GER40_m_i,15458.9,15462.5,15445.6,15470.3,15457.95,15459.466666666667,15460.225,15459.325,609,2022-01-27 15:30:00
30243,GER40_m_i,15461.7,15521.7,15454.5,15524.5,15489.5,15500.233333333332,15505.599999999999,15490.599999999999,699,2022-01-27 15:45:00
30244,GER40_m_i,15519.5,15524.3,15500.4,15529.3,15514.849999999999,15518.0,15519.575,15518.375,508,2022-01-27 16:00:00
30245,GER40_m_i,15524.3,15528.3,15508.9,15531.3,15520.099999999999,15522.833333333334,15524.2,15523.2,511,2022-01-27 16:15:00
30246,GER40_m_i,15527.2,15564.2,15507.3,15567.2,15537.25,15546.233333333332,15550.724999999999,15541.474999999999,1025,2022-01-27 16:30:00
30247,GER40_m_i,15566.2,15564.9,15541.2,15583.0,15562.1,15563.033333333333,15563.5,15563.825,798,2022-01-27 16:45:00
30248,GER40_m_i,15564.9,15569.3,15533.2,15572.2,15552.7,15558.233333333332,15561.0,15559.9,923,2022-01-27 17:00:00
30249,GER40_m_i,15570.3,15483.2,15483.2,15572.2,15527.7,15512.866666666669,15505.45,15527.225000000002,758,2022-01-27 17:15:00
30250,GER40_m_i,15483.2,15502.3,15454.2,15503.3,15478.75,15486.6,15490.525000000001,15485.75,880,2022-01-27 17:30:00
30251,GER40_m_i,15502.3,15528.3,15487.2,15531.5,15509.35,15515.666666666666,15518.825,15512.325,828,2022-01-27 17:45:00
