,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
795,HSI50_i,24693.5,24709.5,24612.0,24798.5,24705.25,24706.666666666668,24707.375,24703.375,38600,2020-10-27 08:00:00
796,HSI50_i,24709.5,24747.5,24704.5,24788.5,24746.5,24746.833333333332,24747.0,24737.5,18220,2020-10-27 12:00:00
797,HSI50_i,24747.5,24789.5,24676.5,24804.5,24740.5,24756.833333333332,24765.0,24754.5,15350,2020-10-27 16:00:00
798,HSI50_i,24681.5,24778.0,24659.0,24821.0,24740.0,24752.666666666668,24759.0,24734.875,11485,2020-10-28 04:00:00
799,HSI50_i,24779.0,24535.0,24496.0,24807.0,24651.5,24612.666666666668,24593.25,24654.25,41335,2020-10-28 08:00:00
800,HSI50_i,24537.0,24447.0,24394.0,24570.0,24482.0,24470.333333333332,24464.5,24487.0,28680,2020-10-28 12:00:00
801,HSI50_i,24448.0,24379.0,24298.5,24462.0,24380.25,24379.833333333332,24379.625,24396.875,23000,2020-10-28 16:00:00
802,HSI50_i,24406.5,24536.5,24406.5,24536.5,24471.5,24493.166666666668,24504.0,24471.5,15455,2020-10-29 04:00:00
803,HSI50_i,24535.5,24525.0,24455.5,24625.5,24540.5,24535.333333333332,24532.75,24535.375,45935,2020-10-29 08:00:00
804,HSI50_i,24524.0,24466.5,24381.5,24531.5,24456.5,24459.833333333332,24461.5,24475.875,32415,2020-10-29 12:00:00
805,HSI50_i,24467.5,24487.5,24448.5,24541.5,24495.0,24492.5,24491.25,24486.25,21040,2020-10-29 16:00:00
806,HSI50_i,24496.5,24186.5,24172.5,24506.0,24339.25,24288.333333333332,24262.875,24340.375,17680,2020-10-30 04:00:00
807,HSI50_i,24183.5,24189.5,23968.5,24215.5,24092.0,24124.5,24140.75,24139.25,62505,2020-10-30 08:00:00
808,HSI50_i,24191.5,24237.5,24145.5,24254.5,24200.0,24212.5,24218.75,24207.25,28500,2020-10-30 12:00:00
809,HSI50_i,24237.5,24172.5,24101.5,24258.5,24180.0,24177.5,24176.25,24192.5,24210,2020-10-30 16:00:00
810,HSI50_i,24241.5,24327.5,24221.5,24371.0,24296.25,24306.666666666668,24311.875,24290.375,12465,2020-11-02 04:00:00
811,HSI50_i,24322.5,24458.5,24303.5,24501.5,24402.5,24421.166666666668,24430.5,24396.5,48145,2020-11-02 08:00:00
812,HSI50_i,24460.5,24542.5,24456.5,24567.5,24512.0,24522.166666666668,24527.25,24506.75,22920,2020-11-02 12:00:00
813,HSI50_i,24544.5,24490.5,24458.5,24553.5,24506.0,24500.833333333332,24498.25,24511.75,19990,2020-11-02 16:00:00
814,HSI50_i,24849.5,24988.0,24849.5,24991.0,24920.25,24942.833333333332,24954.125,24919.5,12920,2020-11-03 04:00:00
815,HSI50_i,24988.5,25152.5,24906.5,25184.0,25045.25,25081.0,25098.875,25057.875,43420,2020-11-03 08:00:00
816,HSI50_i,25154.5,24868.0,24835.0,25160.5,24997.75,24954.5,24932.875,25004.5,31455,2020-11-03 12:00:00
817,HSI50_i,24867.0,24908.0,24732.0,24954.0,24843.0,24864.666666666668,24875.5,24865.25,31190,2020-11-03 16:00:00
