,USDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
280,USDJPY_i,106.187,106.481,106.003,106.514,106.2585,106.33266666666667,106.36975,106.29625,18880,2021-02-26 08:00:00
281,USDJPY_i,106.477,106.3,106.199,106.489,106.344,106.32933333333334,106.322,106.36625000000001,18798,2021-02-26 12:00:00
282,USDJPY_i,106.3,106.64,106.278,106.688,106.483,106.53533333333333,106.5615,106.4765,23513,2021-02-26 16:00:00
283,USDJPY_i,106.639,106.545,106.497,106.647,106.572,106.563,106.55850000000001,106.58200000000001,10423,2021-02-26 20:00:00
284,USDJPY_i,106.511,106.624,106.358,106.641,106.49950000000001,106.54100000000001,106.56175000000002,106.5335,11610,2021-03-01 00:00:00
285,USDJPY_i,106.628,106.522,106.455,106.694,106.5745,106.557,106.54825,106.57475,7745,2021-03-01 04:00:00
286,USDJPY_i,106.522,106.719,106.517,106.734,106.62549999999999,106.65666666666665,106.67224999999999,106.62299999999999,10116,2021-03-01 08:00:00
287,USDJPY_i,106.72,106.64,106.631,106.769,106.7,106.68,106.67,106.69,9979,2021-03-01 12:00:00
288,USDJPY_i,106.64,106.774,106.515,106.792,106.65350000000001,106.69366666666667,106.71375,106.68025,16493,2021-03-01 16:00:00
289,USDJPY_i,106.774,106.755,106.751,106.882,106.8165,106.796,106.78575000000001,106.79050000000001,6713,2021-03-01 20:00:00
290,USDJPY_i,106.752,106.883,106.665,106.919,106.792,106.82233333333333,106.83749999999999,106.80475,11019,2021-03-02 00:00:00
291,USDJPY_i,106.882,106.82,106.719,106.887,106.803,106.80866666666667,106.8115,106.827,10564,2021-03-02 04:00:00
292,USDJPY_i,106.82,106.882,106.769,106.901,106.83500000000001,106.85066666666667,106.8585,106.843,10030,2021-03-02 08:00:00
293,USDJPY_i,106.882,106.915,106.841,106.951,106.89599999999999,106.90233333333333,106.9055,106.89725,7655,2021-03-02 12:00:00
294,USDJPY_i,106.915,106.731,106.67,106.93,106.80000000000001,106.777,106.7655,106.81150000000001,11296,2021-03-02 16:00:00
295,USDJPY_i,106.731,106.679,106.672,106.756,106.714,106.70233333333333,106.69649999999999,106.70949999999999,4517,2021-03-02 20:00:00
296,USDJPY_i,106.682,106.817,106.666,106.851,106.7585,106.778,106.78775,106.754,6813,2021-03-03 00:00:00
297,USDJPY_i,106.817,106.861,106.803,106.879,106.84100000000001,106.84766666666667,106.851,106.84,4338,2021-03-03 04:00:00
