,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
795,GBPCHF_i,1.27401,1.2757100000000001,1.27365,1.27582,1.274735,1.27506,1.2752225,1.2747975,3821,2021-06-28 04:00:00
796,GBPCHF_i,1.27569,1.27786,1.27552,1.27863,1.277075,1.2773366666666666,1.2774675,1.2769249999999999,9598,2021-06-28 08:00:00
797,GBPCHF_i,1.27786,1.27858,1.27555,1.27997,1.27776,1.2780333333333334,1.27817,1.27799,10550,2021-06-28 12:00:00
798,GBPCHF_i,1.27858,1.27614,1.2751000000000001,1.27916,1.27713,1.2768,1.276635,1.277245,11708,2021-06-28 16:00:00
799,GBPCHF_i,1.27614,1.27621,1.2753,1.2766600000000001,1.2759800000000001,1.2760566666666666,1.276095,1.2760775,3945,2021-06-28 20:00:00
800,GBPCHF_i,1.27561,1.27549,1.27447,1.27664,1.275555,1.2755333333333334,1.2755225000000001,1.2755524999999999,2464,2021-06-29 00:00:00
801,GBPCHF_i,1.27551,1.27567,1.2751700000000001,1.27611,1.27564,1.27565,1.275655,1.275615,3458,2021-06-29 04:00:00
802,GBPCHF_i,1.27566,1.27409,1.27369,1.27643,1.2750599999999999,1.2747366666666666,1.274575,1.2749675,8887,2021-06-29 08:00:00
803,GBPCHF_i,1.27408,1.27523,1.2729599999999999,1.2759800000000001,1.27447,1.2747233333333334,1.27485,1.2745625,12577,2021-06-29 12:00:00
804,GBPCHF_i,1.27523,1.27419,1.2727,1.27628,1.2744900000000001,1.2743900000000001,1.27434,1.2746,15069,2021-06-29 16:00:00
805,GBPCHF_i,1.2741799999999999,1.27454,1.27403,1.2754699999999999,1.27475,1.27468,1.274645,1.2745549999999999,5368,2021-06-29 20:00:00
806,GBPCHF_i,1.27377,1.27573,1.27284,1.27582,1.27433,1.2747966666666668,1.27503,1.27454,2365,2021-06-30 00:00:00
807,GBPCHF_i,1.27572,1.2757800000000001,1.27519,1.27613,1.27566,1.2757,1.2757200000000002,1.275705,3254,2021-06-30 04:00:00
808,GBPCHF_i,1.2757800000000001,1.27646,1.2734,1.27711,1.275255,1.2756566666666667,1.2758575,1.2756875,9782,2021-06-30 08:00:00
809,GBPCHF_i,1.27643,1.27892,1.2754699999999999,1.28036,1.277915,1.2782499999999999,1.2784175,1.2777949999999998,13403,2021-06-30 12:00:00
810,GBPCHF_i,1.27891,1.27687,1.27592,1.27963,1.277775,1.2774733333333332,1.2773225,1.2778325,17915,2021-06-30 16:00:00
811,GBPCHF_i,1.27683,1.27919,1.27656,1.27989,1.278225,1.2785466666666665,1.2787074999999999,1.2781175,7538,2021-06-30 20:00:00
812,GBPCHF_i,1.27889,1.27826,1.2777,1.27982,1.2787600000000001,1.2785933333333335,1.27851,1.2786675,2944,2021-07-01 00:00:00
813,GBPCHF_i,1.27826,1.27884,1.27808,1.2792,1.27864,1.2787066666666667,1.27874,1.2785950000000001,2811,2021-07-01 04:00:00
814,GBPCHF_i,1.27885,1.27657,1.27643,1.28145,1.27894,1.27815,1.277755,1.278325,11582,2021-07-01 08:00:00
815,GBPCHF_i,1.2765900000000001,1.2760099999999999,1.27363,1.27738,1.2755049999999999,1.2756733333333332,1.2757574999999999,1.2759025,13321,2021-07-01 12:00:00
816,GBPCHF_i,1.2760099999999999,1.27409,1.2730299999999999,1.27701,1.27502,1.27471,1.274555,1.275035,18251,2021-07-01 16:00:00
817,GBPCHF_i,1.27409,1.27331,1.27301,1.27431,1.27366,1.2735433333333332,1.273485,1.27368,8487,2021-07-01 20:00:00
818,GBPCHF_i,1.27309,1.2738,1.27153,1.27467,1.2731,1.2733333333333332,1.27345,1.2732725,2829,2021-07-02 00:00:00
819,GBPCHF_i,1.27381,1.27512,1.2734,1.27561,1.274505,1.27471,1.2748125000000001,1.274485,3701,2021-07-02 04:00:00
820,GBPCHF_i,1.2751299999999999,1.27348,1.27316,1.27591,1.2745350000000002,1.2741833333333334,1.2740075000000002,1.27442,9759,2021-07-02 08:00:00
821,GBPCHF_i,1.27347,1.27172,1.27074,1.275,1.27287,1.2724866666666665,1.272295,1.2727325,16278,2021-07-02 12:00:00
822,GBPCHF_i,1.27173,1.2732,1.27127,1.27375,1.27251,1.27274,1.272855,1.2724875,18974,2021-07-02 16:00:00
823,GBPCHF_i,1.27319,1.27309,1.27249,1.27383,1.2731599999999998,1.2731366666666666,1.2731249999999998,1.2731499999999998,5906,2021-07-02 20:00:00
824,GBPCHF_i,1.27319,1.27423,1.27264,1.27477,1.273705,1.2738800000000001,1.2739675000000001,1.2737075,3145,2021-07-05 00:00:00
825,GBPCHF_i,1.2742,1.2745600000000001,1.27369,1.27494,1.274315,1.2743966666666668,1.2744375000000001,1.2743475000000002,2855,2021-07-05 04:00:00
826,GBPCHF_i,1.27463,1.2762,1.27387,1.27701,1.2754400000000001,1.2756933333333336,1.2758200000000002,1.2754275000000002,7156,2021-07-05 08:00:00
827,GBPCHF_i,1.2762,1.27562,1.27518,1.2769599999999999,1.2760699999999998,1.27592,1.275845,1.27599,7233,2021-07-05 12:00:00
828,GBPCHF_i,1.27562,1.27715,1.27554,1.27763,1.2765849999999999,1.276773333333333,1.2768674999999998,1.2764849999999999,6589,2021-07-05 16:00:00
829,GBPCHF_i,1.27716,1.27595,1.27534,1.27726,1.2763,1.2761833333333332,1.276125,1.2764275,6892,2021-07-05 20:00:00
830,GBPCHF_i,1.2757100000000001,1.2774,1.2748,1.2776,1.2762,1.2766,1.2768000000000002,1.2763775000000002,2381,2021-07-06 00:00:00
831,GBPCHF_i,1.27739,1.27802,1.27739,1.27898,1.2781850000000001,1.27813,1.2781025,1.2779449999999999,4059,2021-07-06 04:00:00
832,GBPCHF_i,1.27802,1.27911,1.27713,1.27928,1.278205,1.2785066666666667,1.2786575,1.2783849999999999,12095,2021-07-06 08:00:00
833,GBPCHF_i,1.27914,1.27991,1.27689,1.2802,1.278545,1.2790000000000001,1.2792275000000002,1.279035,12164,2021-07-06 12:00:00
834,GBPCHF_i,1.27993,1.27402,1.27359,1.2799800000000001,1.276785,1.2758633333333333,1.2754025,1.27688,23183,2021-07-06 16:00:00
835,GBPCHF_i,1.27405,1.27549,1.27399,1.27611,1.27505,1.2751966666666668,1.27527,1.27491,6712,2021-07-06 20:00:00
836,GBPCHF_i,1.27431,1.27515,1.27419,1.27624,1.275215,1.2751933333333334,1.2751825,1.2749725,3505,2021-07-07 00:00:00
837,GBPCHF_i,1.27516,1.27454,1.2743,1.27583,1.2750650000000001,1.27489,1.2748025,1.2749575000000002,4251,2021-07-07 04:00:00
838,GBPCHF_i,1.27453,1.27183,1.27177,1.27569,1.27373,1.2730966666666668,1.27278,1.273455,11291,2021-07-07 08:00:00
839,GBPCHF_i,1.27183,1.27678,1.2717800000000001,1.2774,1.2745900000000001,1.27532,1.2756850000000002,1.2744475,12935,2021-07-07 12:00:00
840,GBPCHF_i,1.27679,1.2766600000000001,1.27375,1.27796,1.275855,1.2761233333333333,1.2762575,1.27629,18000,2021-07-07 16:00:00
841,GBPCHF_i,1.2766600000000001,1.27709,1.27579,1.27738,1.2765849999999999,1.2767533333333334,1.2768375,1.2767300000000001,11787,2021-07-07 20:00:00
842,GBPCHF_i,1.2763200000000001,1.27646,1.27548,1.27771,1.276595,1.27655,1.2765275,1.2764925,2265,2021-07-08 00:00:00
843,GBPCHF_i,1.27649,1.2753,1.27512,1.27661,1.275865,1.2756766666666668,1.2755825,1.27588,4402,2021-07-08 04:00:00
844,GBPCHF_i,1.27528,1.2647599999999999,1.26371,1.27528,1.269495,1.2679166666666666,1.2671275,1.2697574999999999,18598,2021-07-08 08:00:00
845,GBPCHF_i,1.26474,1.26034,1.25911,1.26529,1.2622,1.2615800000000001,1.2612700000000001,1.26237,17193,2021-07-08 12:00:00
846,GBPCHF_i,1.26034,1.26053,1.25643,1.2618800000000001,1.259155,1.2596133333333333,1.2598425,1.259795,20338,2021-07-08 16:00:00
847,GBPCHF_i,1.26052,1.26124,1.26034,1.26194,1.2611400000000001,1.2611733333333335,1.26119,1.2610100000000002,10517,2021-07-08 20:00:00
848,GBPCHF_i,1.2598500000000001,1.26166,1.25933,1.26187,1.2606000000000002,1.2609533333333334,1.26113,1.2606775000000001,3279,2021-07-09 00:00:00
849,GBPCHF_i,1.2616399999999999,1.26108,1.26013,1.26181,1.26097,1.2610066666666666,1.2610249999999998,1.2611649999999999,5327,2021-07-09 04:00:00
850,GBPCHF_i,1.2610700000000001,1.26114,1.2600500000000001,1.26242,1.261235,1.2612033333333335,1.2611875000000001,1.2611700000000001,12962,2021-07-09 08:00:00
851,GBPCHF_i,1.26111,1.26547,1.26085,1.2659099999999999,1.26338,1.2640766666666667,1.2644250000000001,1.263335,15315,2021-07-09 12:00:00
852,GBPCHF_i,1.26547,1.26741,1.26428,1.26918,1.26673,1.2669566666666665,1.26707,1.266585,14791,2021-07-09 16:00:00
853,GBPCHF_i,1.2674,1.26982,1.26737,1.26985,1.26861,1.2690133333333333,1.269215,1.26861,6832,2021-07-09 20:00:00
854,GBPCHF_i,1.27035,1.2701500000000001,1.2687599999999999,1.27073,1.269745,1.26988,1.2699475,1.2699975000000001,3959,2021-07-12 00:00:00
855,GBPCHF_i,1.27017,1.27014,1.26955,1.2711700000000001,1.2703600000000002,1.2702866666666668,1.27025,1.2702575,4634,2021-07-12 04:00:00
856,GBPCHF_i,1.27014,1.2671999999999999,1.26643,1.27107,1.2687499999999998,1.268233333333333,1.2679749999999999,1.26871,10080,2021-07-12 08:00:00
857,GBPCHF_i,1.2671999999999999,1.26675,1.2664,1.2696100000000001,1.268005,1.2675866666666666,1.2673775,1.26749,13012,2021-07-12 12:00:00
858,GBPCHF_i,1.26675,1.27042,1.266,1.2717800000000001,1.26889,1.2694,1.2696550000000002,1.2687375,12942,2021-07-12 16:00:00
859,GBPCHF_i,1.27042,1.27008,1.26945,1.27105,1.2702499999999999,1.2701933333333333,1.270165,1.2702499999999999,4905,2021-07-12 20:00:00
860,GBPCHF_i,1.26949,1.27029,1.26894,1.2707899999999999,1.2698649999999998,1.2700066666666665,1.2700775,1.2698775,2171,2021-07-13 00:00:00
861,GBPCHF_i,1.27029,1.27063,1.2696100000000001,1.27119,1.2704,1.2704766666666665,1.2705149999999998,1.27043,3244,2021-07-13 04:00:00
862,GBPCHF_i,1.27062,1.2686899999999999,1.26788,1.27064,1.26926,1.26907,1.268975,1.2694575000000001,8495,2021-07-13 08:00:00
863,GBPCHF_i,1.2686899999999999,1.26929,1.26817,1.27021,1.26919,1.2692233333333334,1.26924,1.2690899999999998,14596,2021-07-13 12:00:00
864,GBPCHF_i,1.2692700000000001,1.26914,1.26671,1.2701500000000001,1.26843,1.2686666666666666,1.268785,1.2688175,19166,2021-07-13 16:00:00
865,GBPCHF_i,1.26915,1.26857,1.2683200000000001,1.2698,1.26906,1.2688966666666668,1.268815,1.26896,8090,2021-07-13 20:00:00
866,GBPCHF_i,1.2681,1.26838,1.26719,1.2702499999999999,1.26872,1.2686066666666667,1.26855,1.26848,2715,2021-07-14 00:00:00
867,GBPCHF_i,1.26838,1.26884,1.2681499999999999,1.2692700000000001,1.26871,1.2687533333333334,1.268775,1.2686600000000001,4407,2021-07-14 04:00:00
868,GBPCHF_i,1.26884,1.2723499999999999,1.26854,1.27281,1.270675,1.2712333333333332,1.2715125,1.270635,11143,2021-07-14 08:00:00
869,GBPCHF_i,1.27231,1.27253,1.27167,1.27565,1.27366,1.2732833333333333,1.2730949999999999,1.27304,15216,2021-07-14 12:00:00
870,GBPCHF_i,1.27255,1.26666,1.26653,1.27314,1.269835,1.2687766666666667,1.2682475,1.26972,20576,2021-07-14 16:00:00
871,GBPCHF_i,1.26662,1.26703,1.2663,1.26801,1.267155,1.2671133333333333,1.2670925,1.26699,5735,2021-07-14 20:00:00
872,GBPCHF_i,1.26701,1.26539,1.26493,1.26795,1.26644,1.26609,1.2659150000000001,1.26632,3217,2021-07-15 00:00:00
873,GBPCHF_i,1.26542,1.26505,1.26456,1.26562,1.2650899999999998,1.2650766666666666,1.26507,1.2651625,4343,2021-07-15 04:00:00
874,GBPCHF_i,1.26504,1.26266,1.26239,1.26724,1.264815,1.2640966666666666,1.2637375,1.2643325,11205,2021-07-15 08:00:00
