,SPX500_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
132,SPX500_i,3791.8,3796.4,3790.5,3800.6,3795.55,3795.8333333333335,3795.975,3794.825,3051,2021-01-19 08:00:00
133,SPX500_i,3796.3,3794.8,3793.8,3800.4,3797.1000000000004,3796.3333333333335,3795.95,3796.325,2044,2021-01-19 12:00:00
134,SPX500_i,3794.8,3800.0,3780.5,3800.8,3790.65,3793.7666666666664,3795.325,3794.0249999999996,5473,2021-01-19 16:00:00
135,SPX500_i,3800.3,3798.8,3798.3,3805.1,3801.7,3800.7333333333336,3800.25,3800.625,2571,2021-01-19 20:00:00
136,SPX500_i,3811.4,3803.6,3798.5,3811.9,3805.2,3804.6666666666665,3804.4,3806.35,1834,2021-01-20 00:00:00
137,SPX500_i,3803.4,3802.9,3796.8,3807.6,3802.2,3802.433333333333,3802.5499999999997,3802.6749999999997,2495,2021-01-20 04:00:00
138,SPX500_i,3803.0,3811.1,3800.8,3815.0,3807.9,3808.9666666666667,3809.5,3807.475,2790,2021-01-20 08:00:00
139,SPX500_i,3811.0,3819.0,3810.4,3819.4,3814.9,3816.2666666666664,3816.95,3814.95,2096,2021-01-20 12:00:00
140,SPX500_i,3819.1,3849.3,3819.1,3850.3,3834.7,3839.566666666667,3842.0,3834.4500000000003,4317,2021-01-20 16:00:00
141,SPX500_i,3849.5,3851.0,3846.8,3860.6,3853.7,3852.7999999999997,3852.35,3851.975,2711,2021-01-20 20:00:00
142,SPX500_i,3855.8,3858.2,3852.0,3862.7,3857.35,3857.633333333333,3857.7749999999996,3857.175,1730,2021-01-21 00:00:00
143,SPX500_i,3858.2,3865.7,3857.8,3867.5,3862.65,3863.6666666666665,3864.175,3862.3,2001,2021-01-21 04:00:00
144,SPX500_i,3865.7,3859.1,3855.7,3866.5,3861.1,3860.433333333333,3860.1,3861.75,2642,2021-01-21 08:00:00
145,SPX500_i,3858.8,3853.2,3850.8,3865.3,3858.05,3856.433333333333,3855.625,3857.0249999999996,2014,2021-01-21 12:00:00
146,SPX500_i,3853.2,3851.3,3844.6,3861.6,3853.1,3852.5,3852.2,3852.675,4682,2021-01-21 16:00:00
147,SPX500_i,3851.6,3854.5,3850.2,3861.6,3855.8999999999996,3855.433333333333,3855.2,3854.475,2256,2021-01-21 20:00:00
148,SPX500_i,3852.1,3848.8,3847.0,3856.3,3851.65,3850.7000000000003,3850.2250000000004,3851.05,1814,2021-01-22 00:00:00
149,SPX500_i,3848.6,3843.1,3838.8,3849.6,3844.2,3843.8333333333335,3843.65,3845.025,2597,2021-01-22 04:00:00
150,SPX500_i,3843.1,3828.6,3825.0,3844.8,3834.9,3832.7999999999997,3831.75,3835.375,3521,2021-01-22 08:00:00
151,SPX500_i,3829.1,3828.5,3821.2,3832.3,3826.75,3827.3333333333335,3827.625,3827.775,3558,2021-01-22 12:00:00
152,SPX500_i,3828.2,3846.9,3827.7,3850.3,3839.0,3841.633333333333,3842.95,3838.2749999999996,4594,2021-01-22 16:00:00
153,SPX500_i,3847.1,3840.6,3839.8,3852.8,3846.3,3844.4,3843.4500000000003,3845.0750000000003,2627,2021-01-22 20:00:00
154,SPX500_i,3850.4,3853.5,3845.7,3855.9,3850.8,3851.7000000000003,3852.15,3851.375,1691,2021-01-25 00:00:00
155,SPX500_i,3853.4,3857.9,3853.4,3859.7,3856.55,3857.0,3857.225,3856.1,1838,2021-01-25 04:00:00
156,SPX500_i,3857.9,3851.5,3850.4,3861.0,3855.7,3854.2999999999997,3853.6,3855.2,2679,2021-01-25 08:00:00
157,SPX500_i,3851.2,3844.4,3838.2,3856.5,3847.35,3846.366666666667,3845.875,3847.575,3867,2021-01-25 12:00:00
158,SPX500_i,3844.5,3842.5,3796.8,3859.9,3828.3500000000004,3833.066666666667,3835.425,3835.925,9282,2021-01-25 16:00:00
159,SPX500_i,3842.7,3856.5,3836.8,3857.3,3847.05,3850.2000000000003,3851.775,3848.325,5113,2021-01-25 20:00:00
160,SPX500_i,3854.5,3847.8,3844.4,3856.0,3850.2,3849.4,3849.0,3850.675,1874,2021-01-26 00:00:00
161,SPX500_i,3848.0,3834.5,3829.8,3849.0,3839.4,3837.7666666666664,3836.95,3840.325,2972,2021-01-26 04:00:00
162,SPX500_i,3834.3,3847.7,3830.2,3855.5,3842.85,3844.4666666666667,3845.2749999999996,3841.925,3725,2021-01-26 08:00:00
163,SPX500_i,3847.9,3863.2,3845.7,3864.4,3855.05,3857.7666666666664,3859.125,3855.2999999999997,3070,2021-01-26 12:00:00
164,SPX500_i,3863.4,3852.4,3848.2,3870.4,3859.3,3857.0,3855.85,3858.6,5992,2021-01-26 16:00:00
165,SPX500_i,3852.5,3850.4,3848.4,3861.8,3855.1000000000004,3853.5333333333333,3852.75,3853.275,3074,2021-01-26 20:00:00
166,SPX500_i,3858.3,3848.9,3846.6,3858.9,3852.75,3851.4666666666667,3850.825,3853.175,2021,2021-01-27 00:00:00
167,SPX500_i,3848.9,3848.1,3842.6,3848.9,3845.75,3846.5333333333333,3846.925,3847.125,2627,2021-01-27 04:00:00
168,SPX500_i,3848.1,3846.1,3841.8,3851.8,3846.8,3846.566666666667,3846.4500000000003,3846.9500000000003,3201,2021-01-27 08:00:00
169,SPX500_i,3846.0,3811.6,3799.3,3846.0,3822.65,3818.9666666666667,3817.125,3825.725,6958,2021-01-27 12:00:00
170,SPX500_i,3811.6,3798.4,3768.0,3815.3,3791.65,3793.9,3795.025,3798.3250000000003,11129,2021-01-27 16:00:00
171,SPX500_i,3798.4,3756.8,3731.8,3800.9,3766.3500000000004,3763.1666666666665,3761.575,3771.975,9544,2021-01-27 20:00:00
172,SPX500_i,3725.8,3754.2,3711.6,3757.7,3734.6499999999996,3741.1666666666665,3744.425,3737.325,5873,2021-01-28 00:00:00
173,SPX500_i,3754.3,3737.8,3735.2,3757.0,3746.1,3743.3333333333335,3741.95,3746.075,5952,2021-01-28 04:00:00
174,SPX500_i,3737.8,3728.3,3714.6,3745.8,3730.2,3729.566666666667,3729.25,3731.625,7417,2021-01-28 08:00:00
175,SPX500_i,3728.1,3772.6,3724.1,3774.8,3749.45,3757.1666666666665,3761.025,3749.9,7741,2021-01-28 12:00:00
176,SPX500_i,3772.7,3826.8,3770.7,3830.1,3800.3999999999996,3809.1999999999994,3813.5999999999995,3800.075,10191,2021-01-28 16:00:00
177,SPX500_i,3827.1,3788.3,3784.4,3831.3,3807.8500000000004,3801.3333333333335,3798.075,3807.775,6122,2021-01-28 20:00:00
178,SPX500_i,3781.9,3761.6,3761.6,3783.9,3772.75,3769.0333333333333,3767.175,3772.25,4205,2021-01-29 00:00:00
179,SPX500_i,3762.1,3741.7,3732.8,3767.7,3750.25,3747.4,3745.9750000000004,3751.0750000000003,6543,2021-01-29 04:00:00
180,SPX500_i,3741.8,3747.9,3729.1,3759.9,3744.5,3745.633333333333,3746.2,3744.675,9061,2021-01-29 08:00:00
181,SPX500_i,3747.9,3772.7,3735.4,3782.2,3758.8,3763.433333333333,3765.75,3759.5499999999997,8797,2021-01-29 12:00:00
182,SPX500_i,3772.7,3703.0,3696.2,3777.9,3737.05,3725.7000000000003,3720.025,3737.45,12207,2021-01-29 16:00:00
183,SPX500_i,3703.0,3711.4,3693.3,3742.3,3717.8,3715.6666666666665,3714.6,3712.5,9807,2021-01-29 20:00:00
184,SPX500_i,3675.8,3700.7,3675.8,3706.0,3690.9,3694.1666666666665,3695.8,3689.575,5093,2021-02-01 00:00:00
185,SPX500_i,3700.8,3731.3,3700.4,3732.5,3716.45,3721.4,3723.875,3716.25,4918,2021-02-01 04:00:00
186,SPX500_i,3731.3,3745.7,3722.9,3751.4,3737.15,3740.0,3741.425,3737.825,6550,2021-02-01 08:00:00
187,SPX500_i,3745.7,3745.4,3740.6,3758.4,3749.5,3748.133333333333,3747.45,3747.5249999999996,5169,2021-02-01 12:00:00
188,SPX500_i,3745.2,3775.4,3725.0,3775.7,3750.35,3758.7000000000003,3762.875,3755.325,8594,2021-02-01 16:00:00
189,SPX500_i,3775.4,3772.4,3768.9,3784.4,3776.65,3775.2333333333336,3774.525,3775.275,4117,2021-02-01 20:00:00
190,SPX500_i,3778.2,3793.5,3767.7,3795.2,3781.45,3785.4666666666667,3787.475,3783.6499999999996,2966,2021-02-02 00:00:00
191,SPX500_i,3793.5,3797.2,3788.9,3799.2,3794.05,3795.1,3795.625,3794.7,3659,2021-02-02 04:00:00
192,SPX500_i,3797.2,3806.9,3788.4,3809.5,3798.95,3801.6,3802.9249999999997,3800.5,4755,2021-02-02 08:00:00
193,SPX500_i,3807.0,3806.9,3800.2,3811.4,3805.8,3806.1666666666665,3806.35,3806.375,3246,2021-02-02 12:00:00
194,SPX500_i,3806.7,3840.9,3802.9,3843.2,3823.05,3829.0,3831.975,3823.425,5444,2021-02-02 16:00:00
195,SPX500_i,3841.2,3825.2,3824.7,3842.4,3833.55,3830.7666666666664,3829.375,3833.375,3109,2021-02-02 20:00:00
196,SPX500_i,3838.7,3838.9,3832.9,3845.9,3839.4,3839.2333333333336,3839.15,3839.1000000000004,2484,2021-02-03 00:00:00
197,SPX500_i,3838.9,3843.9,3832.7,3844.2,3838.45,3840.2666666666664,3841.1749999999997,3839.9249999999997,2899,2021-02-03 04:00:00
198,SPX500_i,3843.9,3837.9,3835.7,3850.9,3843.3,3841.5,3840.6,3842.1,3434,2021-02-03 08:00:00
199,SPX500_i,3837.9,3840.4,3834.7,3843.2,3838.95,3839.433333333333,3839.6749999999997,3839.0499999999997,2838,2021-02-03 12:00:00
200,SPX500_i,3840.4,3839.4,3815.7,3841.2,3828.45,3832.1,3833.9249999999997,3834.1749999999997,6742,2021-02-03 16:00:00
201,SPX500_i,3839.4,3829.4,3829.4,3847.7,3838.55,3835.5,3833.975,3836.475,3110,2021-02-03 20:00:00
202,SPX500_i,3840.1,3834.9,3831.6,3841.3,3836.45,3835.933333333333,3835.6749999999997,3836.975,2101,2021-02-04 00:00:00
203,SPX500_i,3835.0,3825.0,3818.6,3838.9,3828.75,3827.5,3826.875,3829.375,3425,2021-02-04 04:00:00
204,SPX500_i,3825.1,3833.6,3821.0,3839.6,3830.3,3831.4,3831.9500000000003,3829.8250000000003,3460,2021-02-04 08:00:00
205,SPX500_i,3833.6,3839.1,3828.5,3841.6,3835.05,3836.4,3837.0750000000003,3835.7000000000003,2561,2021-02-04 12:00:00
206,SPX500_i,3838.9,3857.8,3836.8,3860.3,3848.55,3851.6333333333337,3853.175,3848.4500000000003,4580,2021-02-04 16:00:00
207,SPX500_i,3857.6,3872.3,3857.3,3872.8,3865.05,3867.466666666667,3868.675,3865.0000000000005,2140,2021-02-04 20:00:00
208,SPX500_i,3871.0,3874.5,3866.8,3874.8,3870.8,3872.0333333333333,3872.65,3871.775,1811,2021-02-05 00:00:00
209,SPX500_i,3874.8,3883.5,3873.0,3883.8,3878.4,3880.1,3880.95,3878.7749999999996,2438,2021-02-05 04:00:00
210,SPX500_i,3883.5,3884.5,3876.8,3887.5,3882.15,3882.933333333333,3883.325,3883.075,2441,2021-02-05 08:00:00
211,SPX500_i,3884.8,3885.9,3882.9,3892.8,3887.8500000000004,3887.2000000000003,3886.875,3886.6000000000004,2470,2021-02-05 12:00:00
212,SPX500_i,3886.0,3894.5,3875.0,3894.8,3884.9,3888.1,3889.7,3887.575,4063,2021-02-05 16:00:00
213,SPX500_i,3894.5,3887.0,3882.0,3895.0,3888.5,3888.0,3887.75,3889.625,2867,2021-02-05 20:00:00
214,SPX500_i,3898.1,3905.9,3893.1,3906.5,3899.8,3901.8333333333335,3902.85,3900.9,2141,2021-02-08 00:00:00
215,SPX500_i,3905.6,3903.1,3901.8,3907.1,3904.45,3904.0,3903.775,3904.4,2027,2021-02-08 04:00:00
216,SPX500_i,3903.1,3897.5,3891.4,3905.6,3898.5,3898.1666666666665,3898.0,3899.4,2542,2021-02-08 08:00:00
217,SPX500_i,3897.4,3901.2,3893.6,3902.9,3898.25,3899.2333333333336,3899.7250000000004,3898.775,2055,2021-02-08 12:00:00
