,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
733,NIKK225_i,28975.0,28885.0,28840.0,29005.0,28922.5,28910.0,28903.75,28926.25,2253,2021-06-09 00:00:00
734,NIKK225_i,28882.0,28875.0,28830.0,28920.0,28875.0,28875.0,28875.0,28876.75,1913,2021-06-09 04:00:00
735,NIKK225_i,28875.0,28857.0,28820.0,28895.0,28857.5,28857.333333333332,28857.25,28861.75,1744,2021-06-09 08:00:00
736,NIKK225_i,28857.0,28830.0,28758.0,28860.0,28809.0,28816.0,28819.5,28826.25,1560,2021-06-09 12:00:00
737,NIKK225_i,28830.0,28915.0,28795.0,28920.0,28857.5,28876.666666666668,28886.25,28865.0,1847,2021-06-09 16:00:00
738,NIKK225_i,28920.0,28815.0,28810.0,28925.0,28867.5,28850.0,28841.25,28867.5,946,2021-06-09 20:00:00
739,NIKK225_i,28845.0,28936.0,28785.0,28969.0,28877.0,28896.666666666668,28906.5,28883.75,1928,2021-06-10 00:00:00
740,NIKK225_i,28934.0,28964.0,28914.0,29005.0,28959.5,28961.0,28961.75,28954.25,2298,2021-06-10 04:00:00
741,NIKK225_i,28964.0,28915.0,28871.0,28977.0,28924.0,28921.0,28919.5,28931.75,2086,2021-06-10 08:00:00
742,NIKK225_i,28915.0,29056.0,28885.0,29065.0,28975.0,29002.0,29015.5,28980.25,2067,2021-06-10 12:00:00
743,NIKK225_i,29056.0,29043.0,28990.0,29140.0,29065.0,29057.666666666668,29054.0,29057.25,2748,2021-06-10 16:00:00
744,NIKK225_i,29042.0,28985.0,28970.0,29060.0,29015.0,29005.0,29000.0,29014.25,1186,2021-06-10 20:00:00
745,NIKK225_i,28990.0,28960.0,28826.0,29047.0,28936.5,28944.333333333332,28948.25,28955.75,2757,2021-06-11 00:00:00
746,NIKK225_i,28965.0,28985.0,28905.0,29080.0,28992.5,28990.0,28988.75,28983.75,2176,2021-06-11 04:00:00
747,NIKK225_i,28983.0,28948.0,28886.0,28985.0,28935.5,28939.666666666668,28941.75,28950.5,1614,2021-06-11 08:00:00
748,NIKK225_i,28948.0,29025.0,28946.0,29025.0,28985.5,28998.666666666668,29005.25,28986.0,1000,2021-06-11 12:00:00
749,NIKK225_i,29025.0,28982.0,28960.0,29040.0,29000.0,28994.0,28991.0,29001.75,1506,2021-06-11 16:00:00
750,NIKK225_i,28982.0,29001.0,28951.0,29003.0,28977.0,28985.0,28989.0,28984.25,450,2021-06-11 20:00:00
751,NIKK225_i,29071.0,29026.0,29001.0,29179.0,29090.0,29068.666666666668,29058.0,29069.25,1197,2021-06-14 00:00:00
