,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1686,NZDJPY_i,77.485,77.437,77.423,77.59,77.5065,77.48333333333333,77.47175,77.48375,12477,2022-01-20 16:00:00
1687,NZDJPY_i,77.457,77.037,77.037,77.487,77.262,77.187,77.1495,77.25450000000001,8684,2022-01-20 20:00:00
1688,NZDJPY_i,77.029,76.592,76.46,77.108,76.78399999999999,76.71999999999998,76.68799999999999,76.79724999999999,10255,2022-01-21 00:00:00
1689,NZDJPY_i,76.592,76.654,76.454,76.704,76.579,76.604,76.6165,76.601,9859,2022-01-21 04:00:00
1690,NZDJPY_i,76.654,76.516,76.412,76.662,76.537,76.53000000000002,76.52650000000001,76.561,10561,2022-01-21 08:00:00
1691,NZDJPY_i,76.516,76.543,76.357,76.67,76.5135,76.52333333333333,76.52825,76.5215,9594,2022-01-21 12:00:00
1692,NZDJPY_i,76.543,76.409,76.279,76.617,76.44800000000001,76.435,76.4285,76.462,20534,2022-01-21 16:00:00
1693,NZDJPY_i,76.41,76.306,76.229,76.484,76.3565,76.33966666666667,76.33125,76.35725,8868,2022-01-21 20:00:00
1694,NZDJPY_i,76.314,76.491,76.204,76.503,76.3535,76.39933333333333,76.42224999999999,76.37799999999999,7320,2022-01-24 00:00:00
1695,NZDJPY_i,76.491,76.373,76.344,76.574,76.459,76.43033333333334,76.416,76.4455,5699,2022-01-24 04:00:00
1696,NZDJPY_i,76.373,76.171,76.067,76.412,76.23949999999999,76.21666666666665,76.20524999999999,76.25574999999999,11393,2022-01-24 08:00:00
1697,NZDJPY_i,76.169,75.954,75.924,76.199,76.0615,76.02566666666667,76.00775,76.0615,12481,2022-01-24 12:00:00
1698,NZDJPY_i,75.951,75.869,75.738,76.208,75.973,75.93833333333333,75.92099999999999,75.94149999999999,21914,2022-01-24 16:00:00
1699,NZDJPY_i,75.869,76.273,75.811,76.402,76.10650000000001,76.162,76.18975,76.08875,15067,2022-01-24 20:00:00
1700,NZDJPY_i,76.266,76.186,76.084,76.477,76.2805,76.24900000000001,76.23325,76.25325000000001,9740,2022-01-25 00:00:00
1701,NZDJPY_i,76.185,76.003,75.816,76.188,76.00200000000001,76.00233333333334,76.0025,76.048,7826,2022-01-25 04:00:00
1702,NZDJPY_i,76.003,76.177,75.885,76.273,76.07900000000001,76.11166666666668,76.12800000000001,76.0845,13247,2022-01-25 08:00:00
1703,NZDJPY_i,76.178,75.902,75.871,76.278,76.0745,76.017,75.98825,76.05725,12208,2022-01-25 12:00:00
1704,NZDJPY_i,75.898,76.014,75.784,76.135,75.9595,75.97766666666666,75.98675,75.95775,19590,2022-01-25 16:00:00
1705,NZDJPY_i,76.014,76.094,75.96,76.305,76.1325,76.11966666666666,76.11325,76.09325,8760,2022-01-25 20:00:00
1706,NZDJPY_i,76.078,76.127,75.971,76.239,76.105,76.11233333333332,76.116,76.10374999999999,5967,2022-01-26 00:00:00
1707,NZDJPY_i,76.127,76.163,76.026,76.187,76.1065,76.12533333333333,76.13475,76.12575,4582,2022-01-26 04:00:00
1708,NZDJPY_i,76.163,76.332,76.11,76.402,76.256,76.28133333333334,76.294,76.25175,8038,2022-01-26 08:00:00
1709,NZDJPY_i,76.335,76.422,76.281,76.465,76.373,76.38933333333334,76.39750000000001,76.37575,8391,2022-01-26 12:00:00
1710,NZDJPY_i,76.422,76.497,76.306,76.518,76.412,76.44033333333334,76.45450000000001,76.43575000000001,13144,2022-01-26 16:00:00
1711,NZDJPY_i,76.49,76.204,75.98,76.655,76.3175,76.27966666666667,76.26075,76.33225,21122,2022-01-26 20:00:00
1712,NZDJPY_i,76.17,75.917,75.882,76.407,76.1445,76.06866666666666,76.03075,76.094,9863,2022-01-27 00:00:00
1713,NZDJPY_i,75.915,75.729,75.639,75.945,75.792,75.771,75.7605,75.807,11085,2022-01-27 04:00:00
1714,NZDJPY_i,75.723,76.171,75.638,76.197,75.9175,76.00200000000001,76.04425,75.93225000000001,14645,2022-01-27 08:00:00
1715,NZDJPY_i,76.172,76.3,76.151,76.355,76.253,76.26866666666666,76.2765,76.24449999999999,15344,2022-01-27 12:00:00
1716,NZDJPY_i,76.3,75.919,75.881,76.418,76.1495,76.07266666666668,76.03425,76.12950000000001,19827,2022-01-27 16:00:00
1717,NZDJPY_i,75.91,75.897,75.716,75.932,75.824,75.84833333333334,75.8605,75.86375000000001,10489,2022-01-27 20:00:00
1718,NZDJPY_i,75.882,75.967,75.754,75.992,75.873,75.90433333333334,75.92,75.89875,8311,2022-01-28 00:00:00
1719,NZDJPY_i,75.967,75.995,75.817,76.053,75.935,75.955,75.965,75.958,8817,2022-01-28 04:00:00
1720,NZDJPY_i,75.994,75.792,75.685,76.007,75.846,75.828,75.819,75.8695,13341,2022-01-28 08:00:00
1721,NZDJPY_i,75.791,75.677,75.498,75.812,75.655,75.66233333333334,75.66600000000001,75.6945,14474,2022-01-28 12:00:00
1722,NZDJPY_i,75.677,75.4,75.398,75.697,75.5475,75.49833333333333,75.47375,75.543,20477,2022-01-28 16:00:00
1723,NZDJPY_i,75.4,75.421,75.224,75.507,75.3655,75.384,75.39325,75.388,8113,2022-01-28 20:00:00
1724,NZDJPY_i,75.36,75.691,75.356,75.7,75.52799999999999,75.58233333333332,75.6095,75.52674999999999,9659,2022-01-31 00:00:00
1725,NZDJPY_i,75.692,75.81,75.666,75.853,75.7595,75.77633333333334,75.78475,75.75525,6157,2022-01-31 04:00:00
1726,NZDJPY_i,75.81,75.939,75.799,76.005,75.902,75.91433333333333,75.9205,75.88825,11238,2022-01-31 08:00:00
1727,NZDJPY_i,75.939,75.949,75.721,75.994,75.8575,75.88799999999999,75.90325,75.90074999999999,11184,2022-01-31 12:00:00
1728,NZDJPY_i,75.946,75.671,75.58,76.105,75.8425,75.78533333333333,75.75675,75.8255,17583,2022-01-31 16:00:00
1729,NZDJPY_i,75.658,75.638,75.558,75.767,75.6625,75.65433333333333,75.65025,75.65525,7976,2022-01-31 20:00:00
1730,NZDJPY_i,75.638,75.599,75.57,75.746,75.65799999999999,75.63833333333332,75.62849999999999,75.63825,6392,2022-02-01 00:00:00
1731,NZDJPY_i,75.599,75.768,75.513,75.807,75.66,75.696,75.714,75.67175,7176,2022-02-01 04:00:00
1732,NZDJPY_i,75.767,75.625,75.584,75.951,75.7675,75.72,75.69624999999999,75.73175,10900,2022-02-01 08:00:00
1733,NZDJPY_i,75.627,75.894,75.587,75.906,75.7465,75.79566666666666,75.82025,75.7535,10227,2022-02-01 12:00:00
1734,NZDJPY_i,75.895,76.036,75.751,76.04,75.8955,75.94233333333334,75.96575,75.9305,16204,2022-02-01 16:00:00
1735,NZDJPY_i,76.045,76.078,75.993,76.226,76.1095,76.099,76.09375,76.0855,6710,2022-02-01 20:00:00
1736,NZDJPY_i,76.066,76.193,75.998,76.274,76.136,76.15499999999999,76.16449999999999,76.13274999999999,5665,2022-02-02 00:00:00
1737,NZDJPY_i,76.193,76.124,76.056,76.267,76.16149999999999,76.14899999999999,76.14274999999999,76.16,3788,2022-02-02 04:00:00
1738,NZDJPY_i,76.124,75.973,75.9,76.159,76.02950000000001,76.01066666666668,76.00125000000001,76.03900000000002,8615,2022-02-02 08:00:00
1739,NZDJPY_i,75.973,75.989,75.916,76.085,76.00049999999999,75.99666666666666,75.99475,75.99074999999999,10360,2022-02-02 12:00:00
1740,NZDJPY_i,75.988,75.868,75.736,76.014,75.875,75.87266666666666,75.8715,75.9015,13783,2022-02-02 16:00:00
1741,NZDJPY_i,75.818,75.845,75.797,75.982,75.8895,75.87466666666667,75.86725,75.8605,5580,2022-02-02 20:00:00
1742,NZDJPY_i,75.845,75.813,75.577,75.908,75.7425,75.766,75.77775,75.78575000000001,8262,2022-02-03 00:00:00
1743,NZDJPY_i,75.813,75.841,75.728,75.931,75.8295,75.83333333333333,75.83525,75.82825,6199,2022-02-03 04:00:00
1744,NZDJPY_i,75.842,76.125,75.791,76.203,75.997,76.03966666666666,76.061,75.99025,9041,2022-02-03 08:00:00
1745,NZDJPY_i,76.125,76.436,76.051,76.443,76.247,76.31,76.3415,76.26375,14654,2022-02-03 12:00:00
1746,NZDJPY_i,76.437,76.526,76.428,76.685,76.5565,76.54633333333334,76.54125,76.519,21076,2022-02-03 16:00:00
1747,NZDJPY_i,76.504,76.548,76.405,76.619,76.512,76.524,76.53,76.519,8112,2022-02-03 20:00:00
1748,NZDJPY_i,76.548,76.533,76.478,76.748,76.613,76.58633333333334,76.57300000000001,76.57675,7503,2022-02-04 00:00:00
1749,NZDJPY_i,76.533,76.684,76.522,76.769,76.6455,76.65833333333333,76.66475,76.627,5898,2022-02-04 04:00:00
1750,NZDJPY_i,76.685,76.381,76.333,76.687,76.50999999999999,76.467,76.4455,76.5215,11818,2022-02-04 08:00:00
1751,NZDJPY_i,76.384,76.093,76.031,76.431,76.231,76.185,76.162,76.23475,15451,2022-02-04 12:00:00
1752,NZDJPY_i,76.093,76.086,75.96,76.157,76.0585,76.06766666666665,76.07225,76.074,18830,2022-02-04 16:00:00
1753,NZDJPY_i,76.086,76.176,76.071,76.226,76.1485,76.15766666666667,76.16225,76.13975,6021,2022-02-04 20:00:00
1754,NZDJPY_i,76.14,76.248,76.006,76.294,76.15,76.18266666666666,76.199,76.172,9959,2022-02-07 00:00:00
1755,NZDJPY_i,76.248,76.345,76.121,76.371,76.246,76.279,76.2955,76.27125,6547,2022-02-07 04:00:00
