,STOXX50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1935,STOXX50_i,3895.4,3899.3,3892.7,3911.1,3901.8999999999996,3901.033333333333,3900.5999999999995,3899.6249999999995,3615,2022-03-17 04:00:00
1936,STOXX50_i,3898.2,3888.7,3872.2,3918.0,3895.1,3892.9666666666667,3891.8999999999996,3894.2749999999996,8558,2022-03-17 08:00:00
1937,STOXX50_i,3888.2,3869.8,3844.5,3890.8,3867.65,3868.366666666667,3868.7250000000004,3873.325,9868,2022-03-17 12:00:00
1938,STOXX50_i,3869.8,3896.5,3841.9,3901.0,3871.45,3879.7999999999997,3883.975,3877.3,10402,2022-03-17 16:00:00
1939,STOXX50_i,3896.6,3896.5,3879.9,3898.2,3889.05,3891.5333333333333,3892.775,3892.8,2226,2022-03-17 20:00:00
1940,STOXX50_i,3873.9,3866.7,3859.5,3880.9,3870.2,3869.033333333333,3868.45,3870.2499999999995,1634,2022-03-18 00:00:00
1941,STOXX50_i,3867.0,3885.5,3854.7,3887.0,3870.85,3875.7333333333336,3878.175,3873.55,1630,2022-03-18 04:00:00
1942,STOXX50_i,3885.0,3866.4,3861.8,3899.3,3880.55,3875.8333333333335,3873.475,3878.125,6499,2022-03-18 08:00:00
1943,STOXX50_i,3866.4,3868.9,3821.9,3876.7,3849.3,3855.8333333333335,3859.1,3858.475,7492,2022-03-18 12:00:00
1944,STOXX50_i,3869.8,3921.4,3866.3,3923.9,3895.1000000000004,3903.866666666667,3908.25,3895.3500000000004,7387,2022-03-18 16:00:00
1945,STOXX50_i,3922.4,3922.3,3912.8,3930.3,3921.55,3921.8000000000006,3921.925,3921.9500000000003,1694,2022-03-18 20:00:00
1946,STOXX50_i,3909.2,3879.6,3879.2,3912.2,3895.7,3890.3333333333335,3887.65,3895.05,1621,2022-03-21 00:00:00
1947,STOXX50_i,3879.1,3876.8,3867.8,3886.1,3876.95,3876.9,3876.875,3877.4500000000003,2078,2022-03-21 04:00:00
1948,STOXX50_i,3876.7,3905.0,3876.7,3916.8,3896.75,3899.5,3900.875,3893.8,6006,2022-03-21 08:00:00
1949,STOXX50_i,3904.6,3892.8,3889.1,3912.7,3900.8999999999996,3898.1999999999994,3896.8499999999995,3899.7999999999997,4880,2022-03-21 12:00:00
1950,STOXX50_i,3893.1,3863.7,3851.5,3901.0,3876.25,3872.066666666667,3869.9750000000004,3877.3250000000003,8225,2022-03-21 16:00:00
1951,STOXX50_i,3863.4,3880.0,3859.2,3880.3,3869.75,3873.1666666666665,3874.875,3870.725,3184,2022-03-21 20:00:00
1952,STOXX50_i,3865.8,3871.2,3850.8,3875.0,3862.9,3865.6666666666665,3867.05,3865.7,1485,2022-03-22 00:00:00
1953,STOXX50_i,3871.4,3871.7,3864.2,3885.7,3874.95,3873.8666666666663,3873.325,3873.2499999999995,2617,2022-03-22 04:00:00
1954,STOXX50_i,3871.7,3919.8,3871.1,3922.1,3896.6,3904.3333333333335,3908.2,3896.175,4517,2022-03-22 08:00:00
1955,STOXX50_i,3919.8,3921.6,3901.1,3926.8,3913.95,3916.5,3917.775,3917.325,4152,2022-03-22 12:00:00
1956,STOXX50_i,3922.3,3931.3,3911.8,3939.8,3925.8,3927.6333333333337,3928.55,3926.3,6625,2022-03-22 16:00:00
1957,STOXX50_i,3931.4,3931.3,3920.0,3938.5,3929.25,3929.933333333333,3930.2749999999996,3930.2999999999997,3012,2022-03-22 20:00:00
1958,STOXX50_i,3929.8,3941.2,3925.8,3941.5,3933.65,3936.1666666666665,3937.425,3934.575,1390,2022-03-23 00:00:00
1959,STOXX50_i,3940.9,3949.7,3936.4,3950.3,3943.3500000000004,3945.466666666667,3946.5250000000005,3944.3250000000003,1230,2022-03-23 04:00:00
1960,STOXX50_i,3949.5,3907.6,3898.8,3950.6,3924.7,3919.0,3916.15,3926.625,5603,2022-03-23 08:00:00
1961,STOXX50_i,3907.4,3860.1,3853.5,3911.5,3882.5,3875.0333333333333,3871.3,3883.125,6124,2022-03-23 12:00:00
1962,STOXX50_i,3860.2,3854.0,3849.7,3885.2,3867.45,3862.9666666666667,3860.725,3862.2749999999996,8078,2022-03-23 16:00:00
1963,STOXX50_i,3854.1,3848.8,3844.9,3862.5,3853.7,3852.066666666667,3851.25,3852.5750000000003,2828,2022-03-23 20:00:00
1964,STOXX50_i,3846.8,3855.4,3845.8,3864.7,3855.25,3855.2999999999997,3855.325,3853.175,1493,2022-03-24 00:00:00
1965,STOXX50_i,3855.5,3878.3,3853.6,3879.3,3866.45,3870.4,3872.375,3866.675,1859,2022-03-24 04:00:00
1966,STOXX50_i,3878.3,3866.5,3865.9,3895.2,3880.55,3875.866666666667,3873.525,3876.4750000000004,5907,2022-03-24 08:00:00
1967,STOXX50_i,3866.3,3852.0,3845.1,3874.7,3859.8999999999996,3857.2666666666664,3855.95,3859.5249999999996,7652,2022-03-24 12:00:00
1968,STOXX50_i,3851.8,3878.2,3846.2,3888.4,3867.3,3870.933333333333,3872.75,3866.1499999999996,7813,2022-03-24 16:00:00
1969,STOXX50_i,3878.2,3884.4,3869.9,3885.1,3877.5,3879.7999999999997,3880.95,3879.3999999999996,2128,2022-03-24 20:00:00
1970,STOXX50_i,3878.8,3885.4,3867.8,3892.7,3880.25,3881.9666666666667,3882.825,3881.175,1544,2022-03-25 00:00:00
1971,STOXX50_i,3885.4,3871.8,3869.3,3889.7,3879.5,3876.933333333333,3875.6499999999996,3879.0499999999997,2594,2022-03-25 04:00:00
1972,STOXX50_i,3871.8,3878.6,3855.0,3883.8,3869.4,3872.4666666666667,3874.0,3872.3,5410,2022-03-25 08:00:00
