,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1206,ASX200_i,7287.4,7257.4,7255.4,7291.4,7273.4,7268.066666666666,7265.4,7272.9,1886,2021-09-21 20:00:00
1207,ASX200_i,7242.5,7236.2,7213.2,7261.2,7237.2,7236.866666666666,7236.7,7238.275,2310,2021-09-22 00:00:00
1208,ASX200_i,7235.3,7300.2,7231.2,7324.2,7277.7,7285.2,7288.95,7272.724999999999,4091,2021-09-22 04:00:00
1209,ASX200_i,7300.2,7307.2,7280.2,7318.3,7299.25,7301.900000000001,7303.225,7301.475,2669,2021-09-22 08:00:00
1210,ASX200_i,7307.2,7315.2,7301.2,7317.2,7309.2,7311.2,7312.2,7310.2,832,2021-09-22 12:00:00
1211,ASX200_i,7316.2,7322.4,7302.4,7333.4,7317.9,7319.399999999999,7320.15,7318.599999999999,1875,2021-09-22 16:00:00
1212,ASX200_i,7322.4,7306.4,7297.4,7329.4,7313.4,7311.066666666666,7309.9,7313.9,1796,2021-09-22 20:00:00
1213,ASX200_i,7304.2,7360.9,7303.2,7360.9,7332.049999999999,7341.666666666667,7346.475,7332.3,1175,2021-09-23 00:00:00
1214,ASX200_i,7359.9,7362.9,7352.9,7377.4,7365.15,7364.399999999999,7364.025,7363.275,1591,2021-09-23 04:00:00
1215,ASX200_i,7362.9,7370.9,7353.9,7382.9,7368.4,7369.233333333333,7369.65,7367.65,1919,2021-09-23 08:00:00
1216,ASX200_i,7370.9,7341.9,7341.9,7377.9,7359.9,7353.899999999999,7350.9,7358.15,1757,2021-09-23 12:00:00
1217,ASX200_i,7340.9,7366.1,7335.9,7374.1,7355.0,7358.7,7360.549999999999,7354.25,1738,2021-09-23 16:00:00
1218,ASX200_i,7366.1,7372.1,7364.1,7377.1,7370.6,7371.100000000001,7371.35,7369.85,719,2021-09-23 20:00:00
1219,ASX200_i,7376.5,7352.2,7347.7,7383.2,7365.45,7361.033333333333,7358.825,7364.9,1404,2021-09-24 00:00:00
1220,ASX200_i,7353.2,7333.2,7321.2,7353.2,7337.2,7335.866666666666,7335.2,7340.2,2047,2021-09-24 04:00:00
1221,ASX200_i,7333.2,7308.2,7273.1,7335.2,7304.15,7305.5,7306.175,7312.425,2360,2021-09-24 08:00:00
1222,ASX200_i,7309.2,7304.2,7291.2,7310.2,7300.7,7301.866666666666,7302.45,7303.7,1223,2021-09-24 12:00:00
1223,ASX200_i,7304.2,7314.4,7302.2,7328.4,7315.299999999999,7315.0,7314.85,7312.3,1848,2021-09-24 16:00:00
1224,ASX200_i,7314.4,7318.4,7307.4,7330.4,7318.9,7318.733333333333,7318.65,7317.65,529,2021-09-24 20:00:00
1225,ASX200_i,7330.5,7381.2,7320.5,7387.2,7353.85,7362.966666666667,7367.525000000001,7354.85,1446,2021-09-27 00:00:00
1226,ASX200_i,7381.2,7374.2,7369.2,7409.2,7389.2,7384.2,7381.7,7383.45,1789,2021-09-27 04:00:00
1227,ASX200_i,7373.2,7345.2,7345.2,7399.2,7372.2,7363.2,7358.7,7365.7,1959,2021-09-27 08:00:00
1228,ASX200_i,7345.2,7326.2,7321.2,7350.2,7335.7,7332.533333333333,7330.95,7335.7,1526,2021-09-27 12:00:00
1229,ASX200_i,7326.2,7323.4,7320.4,7341.4,7330.9,7328.399999999999,7327.15,7327.849999999999,2236,2021-09-27 16:00:00
1230,ASX200_i,7323.4,7331.4,7322.4,7339.4,7330.9,7331.066666666666,7331.15,7329.15,957,2021-09-27 20:00:00
1231,ASX200_i,7326.1,7329.2,7313.2,7342.2,7327.7,7328.2,7328.45,7327.674999999999,1265,2021-09-28 00:00:00
1232,ASX200_i,7329.2,7279.2,7269.2,7330.2,7299.7,7292.866666666666,7289.45,7301.95,2081,2021-09-28 04:00:00
1233,ASX200_i,7279.2,7226.2,7202.2,7279.2,7240.7,7235.866666666666,7233.45,7246.7,2948,2021-09-28 08:00:00
1234,ASX200_i,7226.2,7217.2,7212.2,7230.2,7221.2,7219.866666666666,7219.2,7221.45,2039,2021-09-28 12:00:00
1235,ASX200_i,7216.2,7157.5,7154.4,7224.4,7189.4,7178.766666666666,7173.45,7188.125,4745,2021-09-28 16:00:00
1236,ASX200_i,7157.5,7174.4,7153.5,7199.5,7176.5,7175.8,7175.450000000001,7171.225,2593,2021-09-28 20:00:00
1237,ASX200_i,7176.9,7190.9,7156.8,7197.9,7177.35,7181.866666666666,7184.125,7180.625,2291,2021-09-29 00:00:00
